recordType;vesselFlagCountry;year;workingGroup ;seasonType;seasonValue;areaType;areaValue;metier6;fleetType;fleetValue;originType;variableType;total
EN;ZW;2023;HAWG;Quarter;1;ICESArea;27.4.a;;Fleet;;WGEstimate;kWd-at-sea;369841
EN;ZW;2023;HAWG;Quarter;1;ICESAreaNonFAO;sa.3r;;Fleet;;WGEstimate;kWd-at-sea;235931
EN;ZW;2023;HAWG;Quarter;1;ICESAreaNonFAO;sa.4;;Fleet;;WGEstimate;kWd-at-sea;478521
EN;ZW;2023;HAWG;Quarter;1;ICESAreaNonFAO;sa.5r;;Fleet;;WGEstimate;kWd-at-sea;213694
EN;ZW;2023;HAWG;Quarter;1;ICESAreaNonFAO;sa.7r;;Fleet;;WGEstimate;kWd-at-sea;258963
EN;ZW;2023;HAWG;Quarter;1;ICESAreaNonFAO;27.4.a.e;;Fleet;;WGEstimate;kWd-at-sea;256987
EN;ZW;2023;HAWG;Quarter;1;ICESAreaNonFAO;27.4.a.w;;Fleet;;WGEstimate;kWd-at-sea;56427
EN;ZW;2023;HAWG;Quarter;1;ICESAreaNonFAO;tranfer;;Fleet;;WGEstimate;kWd-at-sea;66427
;;;;;;;;;;;;;
;Effort for HAWG stocks covering some part of 27.4.a;;;;;;;;;;;;OBS: The totals are fake and don't add up
