"Country","Year","Season","Area","Fleets","Fleet1","Catch.Cat.","Discards.Imported.Or.Raised","Catch..kg","Source","p","Catch..kgOld"
"Belgium",2012,2,"27.8.a","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",237,"FillSeason",1,237
"Belgium",2012,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",33256,"FillSeason",1,33256
"Belgium",2012,3,"27.8.a","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",3896,"FillSeason",1,3896
"Belgium",2012,3,"27.8.b","OTB_CRU_70-99_0_0","OTB_CRU","Landings","Imported",288,"FillSeason",1,288
"Belgium",2012,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",118441,"FillSeason",1,118441
"Belgium",2013,1,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",12691.25,"Imported",1,12691.25
"Belgium",2013,1,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",92000.5,"Imported",1,92000.5
"Belgium",2013,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",12691.25,"Imported",1,12691.25
"Belgium",2013,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",92000.5,"Imported",1,92000.5
"Belgium",2013,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",12691.25,"Imported",1,12691.25
"Belgium",2013,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",92000.5,"Imported",1,92000.5
"Belgium",2013,4,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",12691.25,"Imported",1,12691.25
"Belgium",2013,4,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",92000.5,"Imported",1,92000.5
"Belgium",2014,1,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",52820,"Imported",1,52820
"Belgium",2014,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",52820,"Imported",1,52820
"Belgium",2014,3,"27.8.a","TBB_CRU_16-31_0_0","MIS_MIS","Landings","Imported",1700,"FillCountry",1,1700
"Belgium",2014,3,"27.8.b","TBB_CRU_16-31_0_0","MIS_MIS","Landings","Imported",16543,"FillCountry",1,16543
"Belgium",2014,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",52820,"Imported",1,52820
"Belgium",2014,4,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",52820,"Imported",1,52820
"Belgium",2015,1,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",31789.25,"Imported",1,31789.25
"Belgium",2015,2,"27.8.a","OTB_CRU_70-99_0_0","OTB_CRU","Landings","Imported",566,"FillCountry",1,566
"Belgium",2015,2,"27.8.b","OTB_CRU_70-99_0_0","OTB_CRU","Landings","Imported",33,"FillCountry",1,33
"Belgium",2015,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",31789.25,"Imported",1,31789.25
"Belgium",2015,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",31789.25,"Imported",1,31789.25
"Belgium",2015,4,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",31789.25,"Imported",1,31789.25
"Belgium",2016,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",193474,"Imported",1,193474
"Belgium",2017,1,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",53588.5,"Imported",1,53588.5
"Belgium",2017,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",53588.5,"Imported",1,53588.5
"Belgium",2017,3,"27.8.a","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",1074,"FillCountry",1,1074
"Belgium",2017,3,"27.8.b","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",744,"FillCountry",1,744
"Belgium",2017,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",53588.5,"Imported",1,53588.5
"Belgium",2017,4,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",53588.5,"Imported",1,53588.5
"Belgium",2018,1,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",39135.25,"Imported",1,39135.25
"Belgium",2018,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",39135.25,"Imported",1,39135.25
"Belgium",2018,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",39135.25,"Imported",1,39135.25
"Belgium",2018,4,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",39135.25,"Imported",1,39135.25
"Belgium",2019,1,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",10383.25,"Imported",1,10383.25
"Belgium",2019,1,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",15430,"Imported",1,15430
"Belgium",2019,2,"27.8.b","TBB_CRU_16-31_0_0","MIS_MIS","Landings","Imported",2397,"FillCountry",1,2397
"Belgium",2019,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",10383.25,"Imported",1,10383.25
"Belgium",2019,2,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",15430,"Imported",1,15430
"Belgium",2019,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",10383.25,"Imported",1,10383.25
"Belgium",2019,3,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",15430,"Imported",1,15430
"Belgium",2019,4,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",10383.25,"Imported",1,10383.25
"Belgium",2019,4,"27.8.b","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",15430,"Imported",1,15430
"Belgium",2020,1,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",2997.5,"Imported",1,2997.5
"Belgium",2020,1,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",46744.25,"Imported",1,46744.25
"Belgium",2020,2,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",2997.5,"Imported",1,2997.5
"Belgium",2020,2,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",46744.25,"Imported",1,46744.25
"Belgium",2020,3,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",2997.5,"Imported",1,2997.5
"Belgium",2020,3,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",46744.25,"Imported",1,46744.25
"Belgium",2020,4,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",2997.5,"Imported",1,2997.5
"Belgium",2020,4,"27.7.h","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",46744.25,"Imported",1,46744.25
"Belgium",2021,1,"27.7.e","TBB_DEF_70-99_0_0","TBB_DEF","Discards","Imported",25073.75,"Imported",1,25073.75
"Belgium",2021,1,"27.7.e","TBB_DEF_70-99_0_0","TBB_DEF","Landings","Imported",19431,"Imported",1,19431
