Numbers at Age:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge20	UndeterminedAge21	
sol.27.8ab	2024	1	27.8.b	France	336181.00	L	R-Reported	GTR_DEF_100-119_0_0_all	257425.92	-9	-9	1165	-9	43	0.00	0.00	15063.39	197445.83	179989.78	136103.15	120075.66	50445.97	25219.97	14469.53	3518.90	3186.49	0.00	0.00	0.00	219.38	3733.78	1818.92	0.00	0.00	1327.79	
sol.27.8ab	2024	3	27.8.b	France	184593.00	L	R-Reported	OTB_DEF_>=70_0_0	22398.33	-9	-9	579	-9	7	0.00	4853.06	38378.32	27412.59	7321.44	1734.51	1272.05	825.28	98.85	29.91	0.00	39.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	936856.00	L	R-Reported	OTT_CRU_>=70_0_0	24492.28	-9	-9	201	-9	16	0.00	4977.07	22219.02	20908.91	9629.59	3226.12	2519.22	2779.49	461.55	92.96	35.39	311.02	0.00	0.00	0.00	0.00	35.39	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.a	France	518940.00	D	R-Reported	GTR_DEF_100-119_0_0_all	2982.13	-9	-9	226	-9	51	281.74	2218.42	10880.38	7199.72	474.33	302.77	145.79	44.62	24.15	22.31	0.00	0.00	0.00	0.00	0.00	0.00	70.53	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	1363706.00	L	R-Reported	OTT_CRU_>=70_0_0	37666.45	-9	-9	375	-9	14	0.00	0.00	8738.40	31586.80	22966.31	26599.17	11022.63	14863.46	6074.13	5492.47	1240.62	1697.81	1655.80	379.56	326.53	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	371486.00	L	R-Reported	GTR_DEF_100-119_0_0_all	98693.24	-9	-9	1219	-9	24	0.00	17531.63	117716.78	105415.28	29837.84	7908.49	7945.26	7986.10	1621.88	429.07	998.25	1038.65	0.00	0.00	0.00	0.00	1037.89	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	Belgium	374400.00	D	R-Reported	TBB_DEF_70-99_0_0_all	7900.00	-9	104	754	2	2	0.00	2509.00	47402.00	19126.00	3611.00	1514.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.b	France	480525.00	L	R-Reported	GTR_DEF_100-119_0_0_all	191300.04	-9	-9	328	-9	13	0.00	27772.81	147316.37	123037.83	93386.36	72689.02	47131.83	35428.44	24371.66	17522.20	11150.61	12136.68	2269.15	5064.81	248.51	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	92603.00	L	R-Reported	GNS_DEF_all_0_0_all	952.42	-9	-9	41	-9	7	0.00	0.00	132.20	300.90	276.73	283.97	242.60	234.34	197.70	187.31	45.18	0.00	23.78	3.74	66.92	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.b	France	336697.00	L	R-Reported	OTB_DEF_>=70_0_0	41986.99	-9	-9	628	-9	15	0.00	0.00	37891.60	55259.09	32453.35	21702.46	18661.88	6242.78	3350.07	1682.69	70.01	211.16	0.00	0.00	0.00	32.96	75.01	321.46	0.00	0.00	12.50	
