Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Spain	4	Quarter	2024	sol.27.8ab	27.8.a	OTB_MCF_>=70_0_0	5115	kWd	120.00	Landings	R-Reported	Imported
Spain	2	Quarter	2024	sol.27.8ab	27.8.b	OTB_MCF_>=70_0_0	0	kWd	0.00	Landings	R-Reported	Imported
Spain	1	Quarter	2024	sol.27.8ab	27.8.b	OTB_MCF_>=70_0_0	17021	kWd	325.25	Discards	R-Reported	Imported
Spain	3	Quarter	2024	sol.27.8ab	27.8.b	GNS_DEF_60-79_0_0	1243	kWd	7.40	Landings	R-Reported	Imported
Spain	1	Quarter	2024	sol.27.8ab	27.8.b	OTB_MPD_>=70_0_0	21027	kWd	115.00	Landings	R-Reported	Imported
Spain	2	Quarter	2024	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	123104	kWd	0.00	Discards	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	2478682	kWd	5256.98	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	1108017	kWd	29.65	Discards	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	310065	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	3	Quarter	2024	sol.27.8ab	27.8.a	OTB_CRU_>=70_0_0	108319	kWd	4009.04	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	OTT_DEF_>=70_0_0	11143	kWd	339.45	Landings	R-Reported	Imported
France	4	Quarter	2024	sol.27.8ab	27.8.b	OTT_DEF_>=70_0_0	48891	kWd	6831.61	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.b	MIS_MIS_0_0_0	1507370	kWd	2378.97	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	228761	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2024	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	589502	kWd	35280.46	Landings	R-Reported	Imported
France	2	Quarter	2024	sol.27.8ab	27.8.a	OTB_DEF_32-69_0_0	60684	kWd	6197.90	Landings	R-Reported	Imported
