Mean weights at Age Age:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge20	UndeterminedAge21	
sol.27.8ab	2024	4	27.8.a	France	1108017.00	Landings	R-Reported	OTB_DEF_>=70_0_0	51921.36	-9	-9	935	-9	47	0.00	144.36	206.48	284.44	310.69	330.64	359.58	320.68	440.09	358.38	525.91	530.63	617.23	646.07	729.84	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.a	France	228761.00	Landings	R-Reported	OTT_DEF_>=70_0_0	7273.26	-9	-9	128	-9	2	0.00	0.00	347.57	415.48	424.00	402.93	557.53	542.53	623.58	643.60	524.45	0.00	434.87	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	France	281701.00	Landings	R-Reported	GNS_DEF_100-119_0_0_all	1777.58	-9	-9	74	-9	2	0.00	0.00	337.11	331.86	361.19	330.82	468.50	445.21	559.55	621.64	496.90	173.00	431.84	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.b	France	480525.00	Discards	R-Reported	GTR_DEF_100-119_0_0_all	3563.19	-9	-9	28	-9	8	0.00	96.75	143.90	197.91	242.86	273.68	285.98	252.18	0.00	285.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.b	France	21906.00	Landings	R-Reported	GTR_DEF_all_0_0_all	315.56	-9	-9	26	-9	3	0.00	214.74	279.46	335.25	401.74	405.96	404.75	416.37	557.00	0.00	0.00	558.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	50652.00	Landings	R-Reported	OTB_DEF_32-69_0_0	2582.66	-9	-9	55	-9	5	0.00	147.22	220.69	275.54	334.19	276.66	290.45	269.59	287.75	286.89	445.17	396.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	Belgium	374400.00	Landings	R-Reported	TBB_DEF_70-99_0_0_all	194565.00	-9	108	4627	2	2	0.00	156.25	156.29	207.24	234.47	262.39	249.39	343.79	279.83	250.01	314.04	440.66	276.74	462.59	351.83	398.70	376.04	435.91	365.98	301.13	0.00	
sol.27.8ab	2024	1	27.8.a	France	767688.00	Landings	R-Reported	OTB_DEF_>=70_0_0	59850.13	-9	-9	717	-9	24	0.00	0.00	177.73	240.43	361.29	366.85	338.58	440.91	520.71	537.37	724.08	658.37	0.00	0.00	0.00	619.00	963.00	372.00	0.00	0.00	797.00	
sol.27.8ab	2024	2	27.8.b	France	170088.00	Landings	R-Reported	OTB_DEF_>=70_0_0	19054.04	-9	-9	543	-9	7	0.00	0.00	310.48	202.50	230.76	228.81	260.27	235.40	260.21	255.35	303.70	173.00	287.73	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	128270.00	Landings	R-Reported	OTB_DEF_32-69_0_0	3849.35	-9	-9	57	-9	6	0.00	156.65	191.84	258.22	240.41	370.89	262.02	367.43	584.00	536.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.a	France	518940.00	Landings	R-Reported	GTR_DEF_100-119_0_0_all	610281.53	-9	-9	3422	-9	87	0.00	0.00	198.02	263.85	373.01	360.75	343.64	398.39	493.57	484.33	718.12	623.43	0.00	0.00	0.00	619.00	963.00	372.00	0.00	0.00	797.00	
sol.27.8ab	2024	2	27.8.b	France	507928.00	Landings	R-Reported	GTR_DEF_100-119_0_0_all	97526.79	-9	-9	730	-9	30	0.00	0.00	326.88	274.52	285.43	284.47	375.73	336.94	397.23	475.28	398.88	173.00	349.07	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	3	27.8.a	France	63587.00	Landings	R-Reported	GTR_DEF_40-59_0_0	8866.62	-9	-9	195	-9	4	0.00	189.85	272.96	364.39	410.42	460.67	601.13	661.30	581.93	548.57	884.00	558.00	0.00	0.00	0.00	0.00	827.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	2	27.8.b	France	25228.00	Landings	R-Reported	GTR_DEF_all_0_0_all	401.85	-9	-9	58	-9	7	0.00	0.00	325.85	311.99	326.90	317.30	393.42	392.19	442.38	592.84	442.74	173.00	399.30	358.00	619.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	4	27.8.a	France	804943.00	Landings	R-Reported	OTT_DEF_>=70_0_0	43781.82	-9	-9	136	-9	5	0.00	177.98	213.58	361.87	409.46	381.79	426.99	379.81	576.18	371.36	586.39	779.73	617.23	935.21	729.84	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.8ab	2024	1	27.8.b	France	336181.00	Landings	R-Reported	GTR_DEF_100-119_0_0_all	257425.92	-9	-9	1165	-9	43	0.00	0.00	203.99	260.86	343.24	335.00	325.54	342.33	447.62	413.68	701.12	599.94	0.00	0.00	0.00	619.00	963.00	372.00	0.00	0.00	797.00	
sol.27.8ab	2024	1	27.8.a	France	589502.00	Landings	R-Reported	OTT_DEF_>=70_0_0	35280.46	-9	-9	400	-9	4	0.00	0.00	163.56	267.36	510.02	517.69	457.54	591.97	670.32	723.11	742.75	698.92	0.00	0.00	0.00	619.00	963.00	372.00	0.00	0.00	797.00	
