VesselFlagCountry,year,wg,stock,species,CatchCategory,quarter,faoArea,fishManUnit,FAC_EC_lvl6,fleet,domainCatchDis,domainCatchBMS,domainBiology,variableType,total,comment
DK,2023,WGBFAS,cod.27.21,126436,LAN,1,27.3.a.21,NA,GNS_DEF_120-219_0_0,Passive,2023-27.3.a.21-fleet,,,ScientificWeight_kg,215.545376808586,
DK,2023,WGBFAS,cod.27.21,126436,LAN,1,27.3.a.21,NA,GNS_DEF_>=220_0_0,Passive,2023-27.3.a.21-fleet,,,ScientificWeight_kg,7.2925297842628,
DK,2023,WGBFAS,cod.27.21,126436,LAN,1,27.3.a.21,NA,OTB_CRU_70-89_2_35,Active,2023-27.3.a.21-Active,,,ScientificWeight_kg,5.16837416836324,
DK,2023,WGBFAS,cod.27.21,126436,LAN,1,27.3.a.21,NA,OTB_CRU_90-119_0_0,Active,Q1-27.3.a.21-Passive,,,ScientificWeight_kg,5475.93204266627,
DK,2023,WGBFAS,cod.27.21,126436,LAN,1,27.3.a.21,NA,OTB_DEF_32-69_0_0,Active,Q1-27.3.a-Passive,,,ScientificWeight_kg,18.5966793480153,
DK,2023,WGBFAS,cod.27.21,126436,LAN,1,27.3.a.21,NA,OTB_DEF_90-119_0_0,Active,Q1-27.3.a-Passive,,,ScientificWeight_kg,762.87201420862,
DK,2023,WGBFAS,cod.27.21,126436,LAN,2,27.3.a.21,NA,GNS_CRU_>0_0_0,Passive,2023-27.3.a.21-Active, 2023-27.3.a.21-fleet,,ScientificWeight_kg,29.0119357505049,16837416836324
DK,2023,WGBFAS,cod.27.21,126436,LAN,2,27.3.a.21,NA,GNS_DEF_120-219_0_0,Passive,2023-27.3.a.21-Active,,,ScientificWeight_kg,94.6276994386569,
DK,2023,WGBFAS,cod.27.21,126436,LAN,2,27.3.a.21,NA,GNS_DEF_>=220_0_0,Passive,2023-27.3.a.21-Active,,,ScientificWeight_kg,56.2583628435784,
DK,2023,WGBFAS,cod.27.21,126436,LAN,2,27.3.a.21,NA,MIS_MIS_0_0_0,Passive,2023-27.3.a.21-Active,,,ScientificWeight_kg,62.4445315244433,
DK,2023,WGBFAS,cod.27.21,126436,LAN,2,27.3.a.21,NA,OTB_CRU_90-119_0_0,Active,,,,ScientificWeight_kg,3204.35876231111,
DK,2023,WGBFAS,cod.27.21,126436,LAN,2,27.3.a.21,NA,OTB_DEF_90-119_0_0,Active,,,,ScientificWeight_kg,47.8295271206757,
DK,2023,WGBFAS,cod.27.21,126436,LAN,3,27.3.a.21,NA,GNS_CRU_>0_0_0,Passive,,,,ScientificWeight_kg,17.7655144023148,
DK,2023,WGBFAS,cod.27.21,126436,LAN,3,27.3.a.21,NA,GNS_DEF_100-119_0_0,Passive,,,,ScientificWeight_kg,2.0872072505381,
DK,2023,WGBFAS,cod.27.21,126436,LAN,3,27.3.a.21,NA,GNS_DEF_120-219_0_0,Passive,2023-27.3.a.21-Active,,,ScientificWeight_kg,11.4985031456469,
