Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	4	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	428370	kWd	2894.34	Discards	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	444057	kWd	3996.53	Discards	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	620228	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_all_0_0_all	23874	kWd	262.01	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	1897574	kWd	5049.81	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	715291	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_100-119_0_0_all	501985	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	GNS_DEF_all_0_0_all	75283	kWd	634.28	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_32-69_0_0	15047	kWd	724.12	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_all_0_0_all	6986	kWd	730.96	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	554606	kWd	0.00	Discards	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_all_0_0_all	17039	kWd	47.20	Discards	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.b	OTB_CRU_>=70_0_0	24507	kWd	1994.34	Landings	R-Reported	Imported
Spain	2	Quarter	2020	sol.27.8ab	27.8.b	OTB_MPD_>=70_0_0	0	kWd	0.00	Landings	R-Reported	Imported
Spain	4	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_60-79_0_0	187	kWd	16.00	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	338723	kWd	42356.10	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	1699398	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_100-119_0_0_all	409236	kWd	0.00	Discards	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	GNS_DEF_100-119_0_0_all	443152	kWd	0.00	Discards	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	336570	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Spain	2	Quarter	2020	sol.27.8ab	27.8.b	LLS_DEF_0_0_0	26347	kWd	0.00	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	428370	kWd	186855.43	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	620228	kWd	22536.06	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	444057	kWd	122891.09	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	GNS_DEF_all_0_0_all	144882	kWd	2470.99	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_all_0_0_all	9982	kWd	1939.04	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	715291	kWd	32450.11	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_100-119_0_0_all	501985	kWd	12029.25	Discards	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	OTB_CRU_>=70_0_0	24621	kWd	2580.89	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	OTT_CRU_>=70_0_0	554606	kWd	17390.93	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_all_0_0_all	134060	kWd	346.66	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_all_0_0_all	17039	kWd	63.17	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_<16_0_0_all	3758	kWd	10.56	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	236677	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_all_0_0_all	32981	kWd	0.00	Discards	R-Reported	Imported
Spain	1	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_60-79_0_0	55	kWd	0.00	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	OTT_DEF_>=70_0_0	336570	kWd	11508.11	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	GNS_DEF_100-119_0_0_all	443152	kWd	6374.28	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	1699398	kWd	13056.98	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_100-119_0_0_all	409236	kWd	15302.33	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	793755	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Spain	3	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	161823	kWd	535.00	Landings	R-Reported	Imported
Spain	4	Quarter	2020	sol.27.8ab	27.8.b	GNS_DEF_60-79_0_0	2564	kWd	9.00	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_>=70_0_0	1026071	kWd	45850.23	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	444057	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	428370	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	OTB_DEF_32-69_0_0	2314	kWd	173.80	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_100-119_0_0_all	550386	kWd	585440.94	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.a	MIS_MIS_0_0_0	1897574	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
France	1	Quarter	2020	sol.27.8ab	27.8.b	OTB_DEF_>=70_0_0	342558	kWd	35172.19	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_all_0_0_all	10463	kWd	605.00	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.8ab	27.8.a	GTR_DEF_all_0_0_all	14563	kWd	478.86	Landings	R-Reported	Imported
France	4	Quarter	2020	sol.27.8ab	27.8.b	GTR_DEF_all_0_0_all	7381	kWd	89.91	Landings	R-Reported	Imported
