RecordType,Country,Year,SeasonType,Season,Fleet,AreaType,FishingArea,DepthRange,UnitEffort,Effort,AreaQualifier
HI,Spain,2024,Quarter,4,OTB_MCF_>=70_0_0,NA,27.8.a,NA,kWd,5115,NA
HI,Spain,2024,Quarter,2,OTB_MCF_>=70_0_0,NA,27.8.b,NA,kWd,0,NA
HI,Spain,2024,Quarter,1,OTB_MCF_>=70_0_0,NA,27.8.b,NA,kWd,17021,NA
HI,Spain,2024,Quarter,3,GNS_DEF_60-79_0_0,NA,27.8.b,NA,kWd,1243,NA
HI,Spain,2024,Quarter,1,OTB_MPD_>=70_0_0,NA,27.8.b,NA,kWd,21027,NA
HI,Spain,2024,Quarter,2,OTB_DEF_>=70_0_0,NA,27.8.b,NA,kWd,123104,NA
HI,France,2024,Quarter,1,MIS_MIS_0_0_0,NA,27.8.a,NA,kWd,2478682,NA
HI,France,2024,Quarter,4,OTB_DEF_>=70_0_0,NA,27.8.a,NA,kWd,1108017,NA
HI,France,2024,Quarter,4,OTT_CRU_>=70_0_0,NA,27.8.a,NA,kWd,310065,NA
HI,France,2024,Quarter,3,OTB_CRU_>=70_0_0,NA,27.8.a,NA,kWd,108319,NA
HI,France,2024,Quarter,2,OTT_DEF_>=70_0_0,NA,27.8.b,NA,kWd,11143,NA
HI,France,2024,Quarter,4,OTT_DEF_>=70_0_0,NA,27.8.b,NA,kWd,48891,NA
HI,France,2024,Quarter,2,MIS_MIS_0_0_0,NA,27.8.b,NA,kWd,1507370,NA
HI,France,2024,Quarter,2,OTT_DEF_>=70_0_0,NA,27.8.a,NA,kWd,228761,NA
HI,France,2024,Quarter,1,OTT_DEF_>=70_0_0,NA,27.8.a,NA,kWd,589502,NA
HI,France,2024,Quarter,2,OTB_DEF_32-69_0_0,NA,27.8.a,NA,kWd,60684,NA
HI,France,2024,Quarter,4,GTR_DEF_100-119_0_0_all,NA,27.8.b,NA,kWd,480525,NA
HI,France,2024,Quarter,1,OTB_CRU_>=70_0_0,NA,27.8.b,NA,kWd,293,NA
HI,France,2024,Quarter,4,GTR_DEF_all_0_0_all,NA,27.8.a,NA,kWd,19319,NA
HI,France,2024,Quarter,3,OTB_DEF_<16_0_0_all,NA,27.8.b,NA,kWd,2545,NA
HI,France,2024,Quarter,1,GNS_DEF_100-119_0_0_all,NA,27.8.a,NA,kWd,589931,NA
HI,France,2024,Quarter,3,GTR_DEF_100-119_0_0_all,NA,27.8.b,NA,kWd,375933,NA
HI,France,2024,Quarter,3,GTR_DEF_40-59_0_0,NA,27.8.a,NA,kWd,63587,NA
HI,France,2024,Quarter,2,GTR_DEF_all_0_0_all,NA,27.8.a,NA,kWd,15223,NA
HI,France,2024,Quarter,1,GNS_DEF_100-119_0_0_all,NA,27.8.b,NA,kWd,159650,NA
HI,France,2024,Quarter,1,OTB_DEF_32-69_0_0,NA,27.8.b,NA,kWd,29188,NA
HI,France,2024,Quarter,1,GTR_DEF_100-119_0_0_all,NA,27.8.b,NA,kWd,336181,NA
