VesselFlagCountry,year,workingGroup,stock,speciesCode,CatchCategory,domainBiology,fishDomain,bvType,bvValue,AgeType,AgeGroupPlus,variableType,total,mean,varianceTotal,varianceMean,PSUtype,numPSUs,numSamples,numMeasurements
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,2,ageyear,,Number,2.5029927741,NA,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,3,ageyear,,Number,0.9881764061,NA,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,4,ageyear,,Number,1.0702960201,NA,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,5,ageyear,,Number,0.1479735785,NA,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Age,7,ageyear,,Number,0.0577715513,NA,NA,NA,,3,3,135
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Age,1,ageyear,,Number,25.50201625,NA,NA,NA,,9,9,27
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Age,2,ageyear,,Number,11.695494391,NA,NA,NA,,9,9,27
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Age,3,ageyear,,Number,0.1393345051,NA,NA,NA,,9,9,27
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,29,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,30,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,31,,,Number,0.14,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,32,,,Number,0.13,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,33,,,Number,0.26,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,34,,,Number,0.34,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,35,,,Number,0.31,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,36,,,Number,0.27,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,37,,,Number,0.31,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,38,,,Number,0.21,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,39,,,Number,0.16,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,40,,,Number,0.18,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,41,,,Number,0.08,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,42,,,Number,0.06,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,43,,,Number,0.13,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,44,,,Number,0.06,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,45,,,Number,0.05,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,46,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,47,,,Number,0.09,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,48,,,Number,0.08,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,49,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,50,,,Number,0.14,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,51,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,52,,,Number,0.11,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,53,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,54,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,55,,,Number,0.07,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,56,,,Number,0.07,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,57,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,58,,,Number,0.07,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,59,,,Number,0.11,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,60,,,Number,0.07,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,61,,,Number,0.11,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,62,,,Number,0.04,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,64,,,Number,0.21,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,65,,,Number,0.13,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,66,,,Number,0.07,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,67,,,Number,0.11,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,68,,,Number,0.07,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,69,,,Number,0.07,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,70,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,71,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,74,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,75,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,78,,,Number,0.03,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,79,,,Number,0.02,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,82,,,Number,0.02,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,LAN,1_27.3.a.21_Active,,Length,86,,,Number,0.02,NA,NA,NA,,2,2,165
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,10,,,Number,0.2745478796,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,11,,,Number,0.1343684704,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,12,,,Number,0.8005894461,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,13,,,Number,0.6839210591,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,14,,,Number,1.5310130336,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,15,,,Number,3.941587343,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,16,,,Number,3.1860587342,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,17,,,Number,4.9343822667,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,18,,,Number,1.9217218882,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,19,,,Number,3.7450204014,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,20,,,Number,2.9376783623,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,21,,,Number,1.5216143729,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,22,,,Number,2.1253004587,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,23,,,Number,1.8733475777,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,24,,,Number,1.5201300081,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,25,,,Number,0.7925871583,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,26,,,Number,0.4474694012,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,27,,,Number,0.7920832376,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,28,,,Number,0.744065405,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,29,,,Number,0.3786055602,NA,NA,NA,,9,9,216
DK,2023,WGBFAS,cod.27.21,126436,DIS,1_27.3.a.21_Active,,Length,30,,,Number,0.5573380206,NA,NA,NA,,9,9,216
