EG,StockCode,StockFullName1
AFWG,,
AFWG,anf.27.1-2,"Anglerfish (Lophius budegassa, Lophius piscatorius) in subareas 1 and 2 (Northeast Arctic)"
AFWG,cap.27.1-2,"Capelin (Mallotus villosus) in subareas 1 and 2 (Northeast Arctic), excluding Division 2.a west of 5°W (Barents Sea capelin)"
AFWG,cod.27.1-2,Cod (Gadus morhua) in subareas 1 and 2 (Northeast Arctic)
AFWG,cod.27.1-2.coastN,"Cod (Gadus morhua) in subareas 1 and 2, north of 67°N (Norwegian Sea and Barents Sea), northern Norwegian coastal cod "
AFWG,cod.27.2.coastS,"Cod (Gadus morhua) in Subarea 2 between 62°N and 67°N (Norwegian Sea), southern Norwegian coastal cod "
AFWG,ghl.27.1-2,Greenland halibut (Reinhardtius hippoglossoides) in subareas 1 and 2 (Northeast Arctic)
AFWG,had.27.1-2,Haddock (Melanogrammus aeglefinus) in subareas 1 and 2 (Northeast Arctic)
AFWG,pok.27.1-2,Saithe (Pollachius virens) in subareas 1 and 2 (Northeast Arctic)
AFWG,reb.27.1-2,Beaked redfish (Sebastes mentella) in subareas 1 and 2 (Northeast Arctic)
AFWG,reg.27.1-2,Golden redfish (Sebastes norvegicus) in subareas 1 and 2 (Northeast Arctic)
HAWG,,
HAWG,,
HAWG,her.27.20-24,"Herring (Clupea harengus) in subdivisions 20–24; spring spawners (Skagerrak, Kattegat, western Baltic)"
HAWG,her.27.3a47d,"Herring (Clupea harengus) in Subarea 4 and in divisions 3.a and 7.d; autumn spawners (North Sea, Skagerrak, Kattegat, eastern English Channel)"
HAWG,her.27.6aN,Herring (Clupea harengus) in Division 6.a North (North of 56°00’N and East of 07°00’W); autumn spawners (West of Scotland)
HAWG,her.27.6aS7bc,"Herring (Clupea harengus) in divisions 6.a South (south of 56°00’N and west of 07°00’W), 7.b, and 7.c (northwest and west of Ireland)"
HAWG,her.27.irls,"Herring (Clupea harengus) in divisions 7.a (south of 52°30’N), 7.g, 7.h, 7.j, and 7.k (Irish Sea, Celtic Sea, and southwest of Ireland)"
HAWG,her.27.nirs,Herring (Clupea harengus) in Division 7.a North of 52°30’N (Irish Sea)
HAWG,san.27.6a,Sandeel (Ammodytes spp.) in Division 6.a (West of Scotland)
