Mean weights at Age Age:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge19	UndeterminedAge20	UndeterminedAge21	
pok.27.3a46	2022	3	27.4	Germany	324813.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	865939.00	100	976	2963	19	28	0.00	0.00	923.20	809.00	1107.10	1839.50	2791.40	3232.30	4549.50	5101.00	5845.90	8349.30	8113.70	9349.00	8815.30	10574.10	13244.70	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4	Germany	526701.00	Discards	R-Reported	OTB_DEF_>=120_0_0_all	158.00	100	597	20	14	7	0.00	0.00	393.50	529.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	1	27.6.a	France	391455.00	Landings	R-Reported	OTB_DEF_>=120_0_0	278201.60	0.00	0.00	199	0.00	5	0.00	0.00	0.00	1317.41	1754.00	2230.83	2738.03	3266.40	3807.64	4354.47	4900.62	5440.84	5970.79	6487.00	6986.74	7467.96	7929.18	0.00	0.00	9184.95	9560.08	9913.75	
pok.27.3a46	2022	4	27.3.a.20	Denmark	-9.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	1908.00	1908	466	466	12	12	0.00	0.00	738.86	912.93	1328.55	1778.22	3217.73	3516.38	4546.42	5798.33	7398.94	7959.14	0.00	13637.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.3.a.20	Denmark	-9.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	48023.00	48023	250	250	5	5	0.00	0.00	617.82	883.23	1380.22	2581.29	3469.22	4000.46	5211.34	5865.13	6230.85	8211.74	9517.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	4	27.3.a.20	Denmark	-9.00	Landings	R-Reported	SDN_DEF_>=120_0_0_all	24.00	24	466	466	12	12	0.00	0.00	738.86	917.19	1360.19	1865.53	3115.20	3398.62	4278.06	4966.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.3.a.20	Denmark	9527.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	19.00	19	250	250	5	5	0.00	0.00	617.82	883.23	1221.18	1909.80	2522.55	2433.54	3589.04	3555.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4	Denmark	90201.00	Landings	R-Reported	OTB_CRU_70-99_0_0_all	6.00	6	347	347	8	8	0.00	0.00	0.00	1300.76	1194.40	1349.46	1576.62	1659.25	2118.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4	Denmark	37906.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	2.00	2	347	347	8	8	0.00	0.00	0.00	0.00	0.00	0.00	3742.98	4222.72	4231.58	4686.44	5042.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.4	Denmark	28768.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	6.00	6	197	197	4	4	0.00	0.00	0.00	1235.77	1326.43	1519.02	1195.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4	Denmark	-9.00	Discards	R-Reported	OTB_DEF_>=120_0_0_all	1350.00	1350	18	50	7	7	0.00	0.00	433.04	544.07	667.71	977.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2022	27.6.a	UK(Scotland)	2421191.00	Discards	R-Reported	OTB_DEF_>=120_0_0_all	13311.00	13	47	85	13	13	0.00	0.00	554.00	1011.00	1031.00	1870.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	4	27.4	Germany	297166.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	839382.00	100	515	2056	10	13	0.00	0.00	783.70	1029.50	1424.80	2015.80	3207.70	3733.10	4843.80	5601.30	6748.20	6767.20	8644.70	11674.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4.a	Norway	-9.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	2207683.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	805.00	1242.00	1716.00	2209.00	2734.00	3269.00	3819.00	4384.00	3920.00	5024.00	8682.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	1	27.4	Germany	563816.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	875632.00	100	874	4838	20	24	0.00	0.00	0.00	753.60	1186.40	1470.30	2025.10	2661.40	3687.20	4245.90	5892.60	6874.30	6997.60	7579.80	8112.60	9203.30	9561.10	8717.20	9188.50	10335.50	10014.10	0.00	
pok.27.3a46	2022	2022	27.6.a	Ireland	-9.00	Landings	R-Reported	OTB_DEF_100-119_0_0_all	666.00	0.00	0.00	84	0.00	2	0.00	0.00	661.43	843.96	956.15	1141.03	1326.56	1516.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.3.a.20	Denmark	3494.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	107.00	107	232	232	5	5	0.00	0.00	0.00	878.88	1008.52	1342.32	1903.83	2958.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.3.a.20	Denmark	65096.00	Landings	R-Reported	GNS_DEF_120-219_0_0_all	3562.00	3562	232	232	5	5	0.00	0.00	0.00	878.88	1079.42	1761.45	2676.35	4047.96	4578.21	5171.07	6693.83	6805.61	9190.83	7650.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.4	Denmark	-9.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	243085.00	243085	197	197	4	4	0.00	0.00	0.00	1306.97	1426.32	1838.57	2760.28	3691.22	4851.95	6064.82	8227.87	7569.50	8439.23	10677.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	1	27.4	Denmark	39544.00	Landings	R-Reported	OTB_DEF_100-119_0_0_all	616.00	616	262	262	8	8	0.00	0.00	0.00	1045.36	1212.07	1485.90	2082.07	3295.18	4308.12	5718.73	6562.00	7692.55	7728.40	8962.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.4	Denmark	199822.00	Landings	R-Reported	SSC_DEF_>=120_0_0_all	113187.00	113187	197	197	4	4	0.00	0.00	0.00	1466.97	1651.83	2067.27	2886.46	3665.66	4723.28	5800.87	8227.87	7569.50	8439.23	10677.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
