Numbers at Age:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge19	UndeterminedAge20	UndeterminedAge21	
pok.27.3a46	2022	3	27.4.a	Norway	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	4237224.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11319.00	263243.00	505677.00	434367.00	313805.00	228451.00	42770.00	9098.00	1815.00	2799.00	23596.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	4	27.3.a.20	Denmark	-9.00	L	R-Reported	OTB_CRU_90-119_0_0_all	129270.00	129270	466	466	12	12	0.00	0.00	3490.94	39522.92	18544.99	14657.38	4589.68	3378.52	1600.28	1140.27	391.75	159.79	0.00	68.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.3.a.20	Denmark	80741.00	L	R-Reported	SSC_DEF_>=120_0_0_all	2431.00	2431	250	250	5	5	0.00	0.00	0.51	15.60	26.82	121.84	134.44	78.58	92.91	50.93	67.44	9.34	9.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.3.a.20	Denmark	-9.00	D	R-Reported	OTB_CRU_90-119_0_0_all	2645.00	2645	11	11	9	9	0.00	123.64	249.78	1491.38	991.82	356.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.4.b	Norway	-9.00	L	R-Reported	GNS_DEF_all_0_0_all	148834.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	44.00	977.00	1814.00	2371.00	6642.00	7129.00	8016.00	7209.00	2196.00	755.00	1334.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.4.a	Norway	-9.00	L	R-Reported	GNS_DEF_all_0_0_all	1417874.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	380.00	8116.00	16387.00	21666.00	59038.00	62911.00	73244.00	64566.00	19416.00	6722.00	12037.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	1	27.3.a.20	Denmark	156112.00	L	R-Reported	OTB_DEF_>=120_0_0_all	3256.00	3256	150	150	3	3	0.00	0.00	0.00	541.30	813.44	720.32	79.03	71.11	49.56	72.11	23.94	16.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	1	27.4	Denmark	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	274237.00	274237	262	262	8	8	0.00	0.00	0.00	3370.92	19437.42	45817.21	30634.49	11335.19	7062.92	5031.20	1552.73	760.06	222.71	309.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	4	27.4	Denmark	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	289673.00	289673	261	261	5	5	0.00	0.00	1300.06	34216.39	50531.28	20354.40	12592.34	10071.02	5428.95	1590.56	1042.70	185.07	192.55	92.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	4	27.3.a.20	Norway	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	52747.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	150.00	4378.00	7148.00	5681.00	4269.00	2586.00	500.00	114.00	21.00	32.00	299.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.3.a.20	Germany	47914.00	L	R-Reported	OTB_DEF_>=120_0_0_all	325486.00	100	36	38	1	3	0.00	0.00	0.00	41987.00	32896.00	26176.00	5592.00	3983.00	6624.00	9450.00	1413.00	2826.00	2119.00	0.00	0.00	1413.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	4	27.4.a	Norway	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	3000000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8410.00	245250.00	396207.00	314565.00	240957.00	145927.00	28477.00	6609.00	1163.00	1846.00	17068.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4	Germany	526701.00	L	R-Reported	OTB_DEF_>=120_0_0_all	1298026.00	100	597	3098	14	17	0.00	0.00	0.00	135608.00	194485.00	234693.00	135136.00	32178.00	22268.00	14452.00	1195.00	1760.00	1944.00	740.00	475.00	156.00	51.00	225.00	204.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.3.a.20	Denmark	-9.00	L	R-Reported	SDN_DEF_>=120_0_0_all	611.00	611	232	232	5	5	0.00	0.00	0.00	8.38	31.42	46.01	19.47	14.26	8.27	10.66	23.44	5.46	8.40	2.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4	Denmark	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	355563.00	355563	347	347	8	8	0.00	0.00	0.00	7421.06	43814.77	61252.55	34645.83	12320.79	12852.13	6168.43	1698.69	698.35	434.09	264.59	121.92	66.69	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	1	27.4	Denmark	-9.00	D	R-Reported	OTB_DEF_>=120_0_0_all	12775.00	12775	15	36	3	3	0.00	21.29	84.12	605.27	4501.15	3596.61	633.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	4	27.4	Denmark	-9.00	D	R-Reported	OTB_DEF_>=120_0_0_all	636.00	636	8	8	3	3	43.95	43.95	531.89	531.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	4	27.4.b	Norway	-9.00	L	R-Reported	GNS_DEF_all_0_0_all	41222.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.00	379.00	603.00	717.00	2116.00	1861.00	2247.00	2173.00	595.00	213.00	378.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4.b	Norway	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	7279.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.00	588.00	957.00	781.00	593.00	416.00	92.00	21.00	4.00	6.00	49.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	2	27.4.a	Norway	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	2207683.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7015.00	169706.00	281215.00	236017.00	170949.00	119976.00	28150.00	6116.00	1304.00	1692.00	14576.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	1	27.4	Germany	563816.00	L	R-Reported	OTB_DEF_>=120_0_0_all	875632.00	100	874	4838	20	24	0.00	0.00	0.00	2454.00	78514.00	91461.00	71567.00	36797.00	39469.00	20675.00	4796.00	2334.00	5375.00	2645.00	1898.00	1156.00	735.00	644.00	382.00	316.00	74.00	0.00	
pok.27.3a46	2022	2022	27.6.a	Ireland	-9.00	L	R-Reported	OTB_DEF_100-119_0_0_all	666.00	0.00	0.00	84	0.00	2	0.00	0.00	218.82	312.97	236.50	22.52	3.74	0.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.4	Denmark	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	243085.00	243085	197	197	4	4	0.00	0.00	0.00	16305.81	66271.37	22142.10	12621.27	4780.93	3565.98	1145.49	488.37	196.62	279.94	199.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
pok.27.3a46	2022	3	27.4	Denmark	199822.00	L	R-Reported	SSC_DEF_>=120_0_0_all	113187.00	113187	197	197	4	4	0.00	0.00	0.00	3823.26	15488.73	9993.58	9244.79	3795.64	2652.16	652.05	219.91	88.54	126.05	89.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
