Mean weights at Age Age:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge19	UndeterminedAge20	UndeterminedAge21	UndeterminedAge22	UndeterminedAge23	UndeterminedAge24	
sol.27.20-24	2024	4	27.3.a.21	Denmark	-9.00	Landings	R-Reported	Passive	2614.00	2614	163	255	3	3	0.00	95.27	205.74	311.74	278.80	356.98	421.87	194.36	523.90	409.45	378.96	413.16	286.65	294.70	271.00	230.85	267.00	221.00	330.93	0.00	244.00	0.00	303.68	0.00	473.20	
sol.27.20-24	2024	3	27.3.a.21	Denmark	-9.00	Landings	R-Reported	Passive	4192.00	4192	116	122	3	3	0.00	63.67	161.05	167.87	253.68	315.11	342.51	300.46	145.13	132.72	179.75	190.62	354.77	203.77	213.75	0.00	475.12	0.00	187.00	0.00	0.00	0.00	138.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.c.22	Denmark	960.00	Landings	R-Reported	Passive	20776.00	20776	248	987	1	1	0.00	0.00	80.00	255.83	304.01	361.34	509.32	481.66	388.60	560.46	681.21	509.04	776.00	512.74	0.00	324.00	0.00	631.29	509.00	0.00	497.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.b.23	Denmark	-9.00	Landings	R-Reported	Active	27.00	27	15	15	1	1	0.00	0.00	0.00	92.00	387.00	272.10	503.18	673.00	489.26	0.00	833.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.c.22	Denmark	-9.00	Discards	R-Reported	Active	362.00	362	15	15	2	2	0.00	110.01	92.25	103.39	134.83	120.92	115.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.c.22	Denmark	696.00	Discards	R-Reported	Passive	495.00	495	4	5	1	1	0.00	107.79	0.00	106.17	120.25	114.75	112.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.a.20	Denmark	-9.00	Landings	R-Reported	Active	18790.00	18790	69	253	2	2	0.00	0.00	0.00	280.53	265.40	280.29	356.83	312.00	415.49	422.22	311.73	239.20	544.96	505.44	391.40	327.06	326.56	0.00	0.00	0.00	0.00	0.00	0.00	424.32	0.00	
sol.27.20-24	2024	3	27.3.a.20	Denmark	-9.00	Landings	R-Reported	Passive	1449.00	1449	54	127	3	3	0.00	0.00	0.00	0.00	284.73	248.00	307.55	441.40	515.15	452.46	547.58	637.85	484.64	0.00	303.68	757.12	734.24	0.00	0.00	465.92	0.00	0.00	1012.96	0.00	0.00	
sol.27.20-24	2024	2	27.3.a.21	Denmark	-9.00	Landings	R-Reported	Passive	4203.00	4203	119	129	3	3	0.00	54.00	62.06	247.18	354.14	329.65	397.61	434.97	551.15	324.08	561.35	163.33	0.00	184.08	0.00	189.00	0.00	0.00	187.32	203.00	0.00	0.00	189.26	156.00	419.47	
sol.27.20-24	2024	1	27.3.c.22	Denmark	738.00	Landings	R-Reported	Passive	5009.00	5009	204	650	2	2	0.00	0.00	89.53	356.42	333.44	455.24	626.31	561.27	418.62	686.56	729.79	506.82	776.00	512.74	0.00	324.00	0.00	629.36	509.00	0.00	497.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	3	27.3.a.20	Denmark	-9.00	Landings	R-Reported	Active	2388.00	2388	54	127	3	3	0.00	0.00	0.00	62.00	284.73	248.00	308.71	413.31	477.46	419.79	483.64	540.14	484.64	0.00	303.68	757.12	734.24	0.00	0.00	465.92	0.00	0.00	1012.96	0.00	0.00	
sol.27.20-24	2024	1	27.3.a.21	Denmark	-9.00	Landings	R-Reported	Active	8874.00	8874	100	100	3	3	0.00	0.00	0.00	221.02	144.15	243.15	317.24	243.11	478.40	319.59	660.27	211.76	159.85	147.00	0.00	195.00	228.00	142.00	165.00	155.00	0.00	0.00	0.00	0.00	321.36	
sol.27.20-24	2024	3	27.3.c.22	Denmark	685.00	Landings	R-Reported	Passive	16396.00	16396	227	949	-9	-9	0.00	0.00	253.25	215.43	264.03	272.70	284.11	383.85	452.78	475.01	290.00	367.63	587.60	524.10	0.00	1092.00	0.00	0.00	540.80	750.88	0.00	0.00	0.00	0.00	466.89	
sol.27.20-24	2024	1	27.3.c.22	Denmark	-9.00	Landings	R-Reported	Active	3107.00	3107	204	650	2	2	0.00	0.00	0.00	367.15	333.68	417.62	568.50	524.64	418.38	667.22	702.37	481.03	776.00	512.74	0.00	324.00	0.00	606.74	509.00	0.00	497.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.a.20	Denmark	-9.00	Landings	R-Reported	Passive	2779.00	2779	69	253	2	2	0.00	0.00	0.00	287.51	288.50	409.17	478.19	312.00	402.69	422.22	347.01	239.20	544.96	505.44	508.34	347.36	326.56	0.00	0.00	0.00	0.00	0.00	0.00	424.32	0.00	
sol.27.20-24	2024	3	27.3.a.21	Denmark	-9.00	Landings	R-Reported	Active	2377.00	2377	116	122	3	3	0.00	63.67	161.16	167.91	258.61	335.79	331.55	307.73	145.13	132.21	179.76	190.57	356.34	203.77	213.82	0.00	511.20	0.00	187.00	0.00	0.00	0.00	138.00	0.00	0.00	
sol.27.20-24	2024	1	27.3.a.21	Denmark	-9.00	Landings	R-Reported	Passive	521.00	521	100	100	3	3	0.00	0.00	0.00	221.17	142.05	243.48	537.10	313.85	478.40	440.43	667.68	212.00	0.00	147.00	0.00	0.00	0.00	142.00	0.00	155.00	0.00	0.00	0.00	0.00	321.36	
sol.27.20-24	2024	4	27.3.a.21	Denmark	-9.00	Discards	R-Reported	Active	1067.00	1067	12	47	14	14	0.00	79.21	164.00	89.37	97.27	93.04	93.12	90.45	116.63	116.63	116.63	81.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	3	27.3.c.22	Denmark	-9.00	Landings	R-Reported	Active	445.00	445	227	949	-9	-9	0.00	0.00	255.26	224.78	288.55	304.84	363.63	477.73	519.99	532.96	398.68	442.80	587.60	572.61	0.00	1092.00	0.00	0.00	540.80	750.88	0.00	0.00	0.00	0.00	466.89	
sol.27.20-24	2024	3	27.3.b.23	Denmark	256.00	Landings	R-Reported	Passive	2343.00	2343	8	8	1	1	0.00	0.00	0.00	0.00	0.00	320.33	199.00	529.00	459.50	605.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.c.22	Denmark	-9.00	Discards	R-Reported	Active	165.00	165	14	21	2	2	0.00	0.00	80.00	98.44	0.00	107.52	123.00	107.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	1	27.3.a.20	Denmark	-9.00	Landings	R-Reported	Passive	3715.00	3715	9	9	2	2	0.00	0.00	0.00	180.00	0.00	0.00	0.00	446.25	0.00	0.00	798.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	418.08	0.00	0.00	0.00	
sol.27.20-24	2024	1	27.3.a.20	Denmark	-9.00	Landings	R-Reported	Active	4855.00	4855	9	9	2	2	0.00	0.00	0.00	177.04	0.00	0.00	0.00	404.40	172.00	0.00	798.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	418.08	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.a.21	Denmark	-9.00	Landings	R-Reported	Active	5333.00	5333	119	129	3	3	0.00	54.00	62.06	246.09	306.49	292.29	365.50	416.01	543.06	231.65	319.00	164.42	0.00	184.08	0.00	189.00	0.00	0.00	187.32	203.67	0.00	0.00	188.88	156.00	353.15	
sol.27.20-24	2024	1	27.3.a.21	Denmark	-9.00	Discards	R-Reported	Active	215.00	215	7	7	12	12	0.00	0.00	0.00	197.00	194.50	116.85	0.00	0.00	0.00	0.00	0.00	88.00	119.00	0.00	0.00	194.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.b.23	Denmark	338.00	Landings	R-Reported	Passive	2797.00	2797	15	15	1	1	0.00	0.00	0.00	92.00	387.00	312.99	503.18	673.00	489.26	0.00	833.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	1	27.3.c.22	Denmark	-9.00	Discards	R-Reported	Active	93.00	93	15	15	3	3	0.00	0.00	91.82	104.74	75.50	112.09	108.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.a.20	Denmark	-9.00	Landings	R-Reported	Active	3636.00	3636	11	11	2	2	0.00	0.00	0.00	178.92	364.00	0.00	436.80	239.20	500.51	644.80	557.44	0.00	540.80	0.00	0.00	0.00	0.00	0.00	867.36	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	3	27.3.a.21	Denmark	-9.00	Discards	R-Reported	Active	327.00	327	19	27	27	27	9.81	67.70	89.52	92.65	66.89	82.59	93.66	103.75	125.95	0.00	100.27	0.00	0.00	0.00	103.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.c.22	Denmark	-9.00	Landings	R-Reported	Active	14372.00	14372	276	1055	4	4	0.00	108.43	263.69	255.53	351.83	352.99	441.31	520.03	539.56	554.65	464.06	570.40	587.60	591.30	0.00	1092.00	0.00	0.00	540.80	750.88	0.00	0.00	0.00	0.00	490.09	
sol.27.20-24	2024	4	27.3.c.22	Denmark	696.00	Landings	R-Reported	Passive	18773.00	18773	276	1055	4	4	0.00	108.43	260.14	244.72	332.20	342.24	427.59	515.37	538.81	551.63	454.66	541.15	587.60	588.48	0.00	1092.00	0.00	0.00	540.80	750.88	0.00	0.00	0.00	0.00	490.09	
sol.27.20-24	2024	1	27.3.a.20	Denmark	-9.00	Discards	R-Reported	Active	40.00	40	2	2	12	12	0.00	0.00	0.00	62.00	0.00	0.00	0.00	0.00	172.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.a.21	Denmark	-9.00	Landings	R-Reported	Active	16049.00	16049	163	255	3	3	0.00	95.27	205.74	294.00	268.22	351.55	350.67	194.83	485.90	405.65	357.45	363.19	286.65	294.70	271.00	230.85	267.00	221.00	330.31	0.00	244.00	0.00	303.68	0.00	473.20	
sol.27.20-24	2024	2	27.3.c.22	Denmark	-9.00	Landings	R-Reported	Active	3178.00	3178	248	987	1	1	0.00	0.00	80.00	315.77	323.05	369.95	499.52	491.83	403.89	603.13	666.07	470.64	776.00	512.74	0.00	324.00	0.00	593.45	509.00	0.00	497.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.a.21	Denmark	-9.00	Discards	R-Reported	Active	1200.00	1200	22	24	16	16	0.00	54.50	61.03	118.30	161.15	123.08	183.79	133.39	133.83	123.50	143.39	297.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.b.23	Denmark	188.00	Landings	R-Reported	Passive	2082.00	2082	14	36	1	1	0.00	0.00	0.00	0.00	244.43	280.65	220.62	341.87	375.60	0.00	0.00	411.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	543.72	
sol.27.20-24	2024	1	27.3.b.23	Denmark	192.00	Landings	R-Reported	Passive	495.00	495	15	15	-9	-9	0.00	0.00	0.00	0.00	387.00	448.91	503.18	673.00	489.26	0.00	833.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.b.23	Denmark	338.00	Discards	R-Reported	Passive	65.00	65	2	2	1	1	0.00	0.00	0.00	92.00	0.00	138.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.a.20	Denmark	-9.00	Landings	R-Reported	Passive	9772.00	9772	11	11	2	2	0.00	0.00	0.00	147.60	364.00	0.00	436.80	239.20	294.01	644.80	557.44	0.00	540.80	0.00	0.00	0.00	0.00	0.00	867.36	0.00	0.00	0.00	0.00	0.00	0.00	
