Numbers at Age:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge19	UndeterminedAge20	UndeterminedAge21	UndeterminedAge22	UndeterminedAge23	UndeterminedAge24	
sol.27.20-24	2024	4	27.3.c.22	Denmark	-9.00	L	R-Reported	Active	14372.00	14372	276	1055	4	4	0.00	1.48	1375.63	2011.72	3714.23	8153.36	3379.53	6346.59	1539.63	2981.61	1634.12	517.42	322.59	1110.03	0.00	109.42	0.00	0.00	39.33	109.42	0.00	0.00	0.00	0.00	30.46	
sol.27.20-24	2024	4	27.3.c.22	Denmark	696.00	L	R-Reported	Passive	18773.00	18773	276	1055	4	4	0.00	2.21	2322.96	3297.20	5706.66	11242.80	4442.29	7934.65	1882.85	3719.28	2037.37	725.68	402.99	1395.44	0.00	136.68	0.00	0.00	44.86	136.68	0.00	0.00	0.00	0.00	59.64	
sol.27.20-24	2024	1	27.3.a.20	Denmark	-9.00	D	R-Reported	Active	40.00	40	2	2	12	12	0.00	0.00	0.00	170.00	0.00	0.00	0.00	0.00	170.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.a.21	Denmark	-9.00	L	R-Reported	Passive	4203.00	4203	119	129	3	3	0.00	0.04	0.06	635.50	950.28	1059.06	950.62	1241.68	1307.95	437.26	2135.35	153.61	0.00	162.98	0.00	0.08	0.00	0.00	278.53	331.99	0.00	0.00	136.68	115.55	382.57	
sol.27.20-24	2024	2	27.3.c.22	Denmark	960.00	L	R-Reported	Passive	20776.00	20776	248	987	1	1	0.00	0.00	0.47	1650.14	2755.95	11822.66	6444.82	4547.30	1808.40	5636.24	4869.04	2446.19	68.78	233.54	0.00	208.49	0.00	1107.03	83.07	0.00	83.07	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.c.22	Denmark	-9.00	D	R-Reported	Active	362.00	362	15	15	2	2	0.00	585.00	416.00	350.00	367.00	988.00	460.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	2	27.3.b.23	Denmark	-9.00	L	R-Reported	Active	27.00	27	15	15	1	1	0.00	0.00	0.00	21.84	3.35	38.40	9.73	3.54	6.83	0.00	3.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.c.22	Denmark	696.00	D	R-Reported	Passive	495.00	495	4	5	1	1	0.00	1658.00	0.00	489.00	190.00	1252.00	870.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
sol.27.20-24	2024	4	27.3.a.20	Denmark	-9.00	L	R-Reported	Active	18790.00	18790	69	253	2	2	0.00	0.00	0.00	3970.21	11733.07	5424.21	18456.70	312.62	1130.57	2822.29	6529.66	1085.41	569.70	861.69	1947.27	1582.51	308.47	0.00	0.00	0.00	0.00	0.00	0.00	197.35	0.00	
sol.27.20-24	2024	3	27.3.a.20	Denmark	-9.00	L	R-Reported	Passive	1449.00	1449	54	127	3	3	0.00	0.00	0.00	0.00	352.32	50.45	774.40	477.21	216.51	834.89	144.49	154.49	116.81	0.00	31.43	22.37	44.75	0.00	0.00	116.81	0.00	0.00	22.37	0.00	0.00	
