Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Denmark	2	Quarter	2024	sol.27.20-24	27.3.a.21	Active	-9	NA	5333.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.a.21	Active	-9	NA	215.00	Discards	R-Reported	Imported
Sweden	3	Quarter	2024	sol.27.20-24	27.3.a.21	Active	975	dop	30.72	Discards	R-Reported	Imported
Germany	2	Quarter	2024	sol.27.20-24	27.3.a.21	Active	50	NA	32.00	Landings	R-Reported	Imported
Norway	4	Quarter	2024	sol.27.20-24	27.3.a.20	OTB_DEF_>=120_0_0_all	-9	NA	218.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2024	sol.27.20-24	27.3.a.21	Passive	250	dop	0.00	BMS landing	R-Reported	Imported
Sweden	2	Quarter	2024	sol.27.20-24	27.3.a.21	Active	781	dop	248.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	sol.27.20-24	27.3.c.22	Active	-9	NA	14372.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	sol.27.20-24	27.3.c.22	Passive	696	dop	18773.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2024	sol.27.20-24	27.3.b.23	Passive	256	dop	0.00	Discards	R-Reported	Imported
Denmark	2	Quarter	2024	sol.27.20-24	27.3.c.22	Active	-9	NA	0.00	BMS landing	R-Reported	Imported
Denmark	3	Quarter	2024	sol.27.20-24	27.3.c.22	Active	-9	dop	0.00	BMS landing	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.d.24	Active	-9	dop	0.00	BMS landing	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.d.24	Passive	46	dop	0.00	BMS landing	R-Reported	Imported
Norway	4	Quarter	2024	sol.27.20-24	27.3.a.20	OTB_CRU_90-119_0_0_all	-9	NA	2.20	Landings	R-Reported	Imported
Denmark	3	Quarter	2024	sol.27.20-24	27.3.a.20	MIS_MIS_0_0_0_IBC	1190	kWd	0.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	sol.27.20-24	27.3.a.20	MIS_MIS_0_0_0_IBC	394	kWd	0.00	Landings	R-Reported	Imported
Germany	1	Quarter	2024	sol.27.20-24	27.3.d.24	Passive	48	NA	6.00	Landings	R-Reported	Imported
Germany	2	Quarter	2024	sol.27.20-24	27.3.c.22	Passive	1053	fd	278.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.a.20	Active	-9	NA	40.00	Discards	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.a.20	Passive	-9	dop	0.00	BMS landing	R-Reported	Imported
Sweden	3	Quarter	2024	sol.27.20-24	27.3.b.23	Passive	163	dop	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2024	sol.27.20-24	27.3.a.20	Active	1736	dop	0.00	Discards	R-Reported	Imported
Sweden	2	Quarter	2024	sol.27.20-24	27.3.d.24	Passive	93	dop	0.00	BMS landing	R-Reported	Imported
Sweden	2	Quarter	2024	sol.27.20-24	27.3.a.20	Passive	2468	dop	0.00	BMS landing	R-Reported	Imported
Sweden	2	Quarter	2024	sol.27.20-24	27.3.a.20	Active	2203	dop	112.40	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	sol.27.20-24	27.3.a.21	Active	-9	NA	1200.00	Discards	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.a.21	Active	-9	NA	0.00	BMS landing	R-Reported	Imported
Sweden	3	Quarter	2024	sol.27.20-24	27.3.a.21	Active	975	dop	0.00	BMS landing	R-Reported	Imported
Germany	3	Quarter	2024	sol.27.20-24	27.3.a.21	Active	207	NA	70.00	Landings	R-Reported	Imported
Norway	3	Quarter	2024	sol.27.20-24	27.3.a.20	OTB_DEF_>=120_0_0_all	-9	NA	21.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2024	sol.27.20-24	27.3.a.21	Active	781	dop	238.72	Discards	R-Reported	Imported
Sweden	4	Quarter	2024	sol.27.20-24	27.3.a.21	Active	565	dop	977.40	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	sol.27.20-24	27.3.d.24	Passive	152	dop	145.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	sol.27.20-24	27.3.d.24	Active	-9	dop	2.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	sol.27.20-24	27.3.c.22	Passive	960	dop	20776.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	sol.27.20-24	27.3.b.23	Active	-9	dop	27.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	sol.27.20-24	27.3.c.22	Active	-9	NA	362.00	Discards	R-Reported	Imported
Denmark	4	Quarter	2024	sol.27.20-24	27.3.c.22	Passive	696	dop	495.00	Discards	R-Reported	Imported
Denmark	3	Quarter	2024	sol.27.20-24	27.3.b.23	Passive	256	dop	0.00	BMS landing	R-Reported	Imported
Norway	4	Quarter	2024	sol.27.20-24	27.3.a.20	MIS_MIS_0_0_0_HC	-9	NA	2.30	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	sol.27.20-24	27.3.a.20	Active	-9	NA	18790.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2024	sol.27.20-24	27.3.a.20	Passive	-9	dop	1449.00	Landings	R-Reported	Imported
Germany	4	Quarter	2024	sol.27.20-24	27.3.c.22	Active	369	NA	205.00	Landings	R-Reported	Imported
Germany	2	Quarter	2024	sol.27.20-24	27.3.a.20	Active	32	NA	4.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.a.20	Active	-9	NA	0.00	BMS landing	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.b.23	Active	-9	dop	0.00	BMS landing	R-Reported	Imported
Sweden	2	Quarter	2024	sol.27.20-24	27.3.b.23	Passive	219	dop	914.50	Landings	R-Reported	Imported
Sweden	1	Quarter	2024	sol.27.20-24	27.3.d.24	Passive	24	dop	0.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2024	sol.27.20-24	27.3.a.20	Active	2203	dop	87.68	Discards	R-Reported	Imported
Sweden	4	Quarter	2024	sol.27.20-24	27.3.a.20	Active	1736	dop	0.00	BMS landing	R-Reported	Imported
Denmark	3	Quarter	2024	sol.27.20-24	27.3.a.21	Active	-9	NA	327.00	Discards	R-Reported	Imported
Denmark	1	Quarter	2024	sol.27.20-24	27.3.a.21	Passive	-9	dop	0.00	BMS landing	R-Reported	Imported
Denmark	4	Quarter	2024	sol.27.20-24	27.3.a.21	Active	-9	NA	0.00	BMS landing	R-Reported	Imported
