Mean weights at Lngt Lngt:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt200	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	UndeterminedLngt490	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt560	UndeterminedLngt570	UndeterminedLngt580	UndeterminedLngt600	UndeterminedLngt610	UndeterminedLngt630	UndeterminedLngt660	
tur.27.3a	2022	3	27.3.a.21	Denmark	788546.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	402.00	402	0.00	9	0.00	19	146.54	160.00	190.00	0.00	229.00	278.00	0.00	0.00	435.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	1	27.3.a.20	Denmark	1022121.00	Landings	R-Reported	OTB_CRU_90-119_0_0_all	10818.00	10818	0.00	150	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	541.37	500.31	615.31	649.10	694.88	758.64	878.27	887.99	934.58	1096.18	1158.60	1312.54	1302.82	1514.45	1620.56	1860.99	1853.00	2077.54	2116.89	2311.25	2441.60	2648.70	0.00	2542.43	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
tur.27.3a	2022	2	27.3.a.20	Denmark	124570.00	Landings	R-Reported	SDN_DEF_>=120_0_0_all	840.00	840	0.00	123	0.00	3	0.00	0.00	248.52	0.00	313.92	356.98	452.90	522.66	534.54	600.59	631.93	699.78	721.04	793.52	0.00	961.93	1073.51	1166.85	1319.99	1470.41	0.00	0.00	1480.22	2081.90	0.00	2127.68	0.00	2234.50	2489.20	0.00	0.00	3232.94	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	1.00	Landings	R-Reported	LLS_FIF_0_0_0_all	370.00	370	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	502.49	513.12	530.56	603.86	675.53	682.07	761.64	906.06	935.76	1066.43	1139.60	0.00	1370.13	1535.27	1584.86	1608.84	1666.61	2045.93	2081.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	723271.00	Landings	R-Reported	OTB_CRU_90-119_0_0_all	7743.00	7743	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	502.49	513.12	530.56	603.86	675.53	682.07	761.64	906.06	953.07	1083.09	1139.60	0.00	1370.13	1535.27	1584.86	1608.84	1666.61	2045.93	2081.90	2278.10	0.00	2455.77	0.00	2376.20	3047.64	0.00	3195.88	0.00	0.00	0.00	0.00	4563.83	5366.07	0.00	0.00	
tur.27.3a	2022	4	27.3.a.20	Denmark	33444.00	Landings	R-Reported	GNS_DEF_120-219_0_0_all	964.00	964	0.00	129	0.00	7	0.00	0.00	0.00	0.00	317.19	0.00	0.00	0.00	487.23	525.38	536.28	627.84	582.06	749.92	813.36	891.08	914.87	1071.30	1177.75	1237.59	1408.28	1503.66	1507.47	1702.58	1725.47	2265.02	2081.43	2172.10	2233.96	2791.13	2551.69	0.00	3131.45	0.00	3508.71	3864.05	4096.22	4087.50	0.00	4552.93	5492.51	7138.41	
tur.27.3a	2022	2	27.3.a.20	Denmark	1.00	Landings	R-Reported	LLS_FIF_0_0_0_all	16.00	16	0.00	123	0.00	3	0.00	0.00	248.52	0.00	313.92	356.98	452.90	522.66	534.54	600.59	631.93	699.78	721.04	793.52	0.00	961.93	1098.62	1166.85	1319.99	1470.41	0.00	0.00	1480.22	2081.90	0.00	2127.68	0.00	2234.50	2489.20	0.00	0.00	3232.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	2	27.3.a.20	Denmark	925072.00	Landings	R-Reported	OTB_CRU_90-119_0_0_all	5852.00	5852	0.00	123	0.00	3	0.00	0.00	248.52	0.00	313.92	356.98	452.90	522.66	534.54	600.59	631.93	699.78	721.04	793.52	0.00	961.93	1121.15	1166.85	1319.99	1470.41	0.00	0.00	1480.22	2081.90	0.00	2127.68	0.00	2234.50	2489.20	0.00	0.00	3232.94	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	56704.00	Landings	R-Reported	GNS_DEF_120-219_0_0_all	5133.00	5133	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	502.49	513.12	530.56	603.86	675.53	682.07	761.64	906.06	968.87	1093.74	1139.60	0.00	1370.13	1535.27	1584.86	1608.84	1666.61	2045.93	2081.90	2278.10	0.00	2455.77	0.00	2376.20	3047.64	0.00	3195.88	0.00	0.00	0.00	0.00	4563.83	5366.07	0.00	0.00	
tur.27.3a	2022	1	27.3.a.20	Denmark	32111.00	Landings	R-Reported	GNS_DEF_120-219_0_0_all	943.00	943	0.00	150	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	541.37	500.31	615.31	649.10	694.88	758.64	878.27	887.99	923.16	1053.78	1088.99	1273.49	1302.82	1514.45	1620.56	1860.99	1853.00	2077.54	2126.11	2318.49	2441.60	2648.70	0.00	2542.43	0.00	0.00	0.00	0.00	4179.06	0.00	4777.47	0.00	5273.42	0.00	
