Numbers at Lngt:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt200	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	UndeterminedLngt490	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt560	UndeterminedLngt570	UndeterminedLngt580	UndeterminedLngt600	UndeterminedLngt610	UndeterminedLngt630	UndeterminedLngt660	
tur.27.3a	2022	2	27.3.a.21	Denmark	564691.00	D	R-Reported	OTB_CRU_90-119_0_0_all	321.00	321	0.00	5	0.00	11	0.00	71.69	215.07	0.00	215.07	0.00	0.00	0.00	465.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	723271.00	D	R-Reported	OTB_CRU_90-119_0_0_all	16545.00	16545	0.00	13	0.00	9	0.00	0.00	0.00	0.00	34361.75	17608.71	5679.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	2	27.3.a.20	Denmark	3955.00	L	R-Reported	TBB_DEF_>=120_0_0_all	179.00	179	0.00	123	0.00	3	0.00	0.00	1.55	0.00	7.76	13.98	17.08	15.53	21.99	26.97	54.60	14.71	12.26	4.90	0.00	4.90	12.64	13.58	6.79	13.58	0.00	0.00	3.40	3.40	0.00	0.34	0.00	0.34	1.01	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.07	0.00	0.07	0.00	0.07	0.00	
tur.27.3a	2022	4	27.3.a.20	Denmark	918720.00	L	R-Reported	OTB_CRU_90-119_0_0_all	27787.00	27787	0.00	129	0.00	7	0.00	0.00	0.00	0.00	480.89	0.00	0.00	0.00	240.45	240.45	260.35	1010.14	336.71	2465.65	2955.10	2714.65	2704.18	4435.68	1374.15	2323.18	706.45	1635.98	476.64	230.53	238.32	94.82	281.00	332.21	91.77	142.98	45.73	0.00	61.92	0.00	10.37	11.77	11.77	12.83	0.00	12.83	12.83	21.10	
tur.27.3a	2022	4	27.3.a.20	Denmark	5115.00	L	R-Reported	TBB_DEF_>=120_0_0_all	393.00	393	0.00	129	0.00	7	0.00	0.00	0.00	0.00	4.78	0.00	0.00	0.00	2.39	2.39	2.59	10.04	3.35	24.50	29.36	26.97	26.87	54.39	26.28	44.43	13.51	31.29	9.12	4.41	4.56	1.32	5.15	5.87	1.28	1.99	0.64	0.00	0.88	0.00	0.16	0.18	0.18	0.19	0.00	0.19	0.19	0.32	
tur.27.3a	2022	2	27.3.a.20	Denmark	422830.00	L	R-Reported	OTB_CRU_32-69_0_0_all	4.00	4	0.00	123	0.00	3	0.00	0.00	0.02	0.00	0.08	0.14	0.17	0.15	0.22	0.27	0.54	0.15	0.12	0.05	0.00	0.05	0.47	0.59	0.30	0.59	0.00	0.00	0.15	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2022	1	27.3.a.20	Denmark	18952.00	L	R-Reported	GNS_DEF_>=220_0_0_all	410.00	410	0.00	150	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.88	11.95	3.93	3.93	9.88	21.73	17.87	13.94	25.56	43.01	35.88	14.76	20.79	8.21	6.34	6.57	1.71	1.55	9.19	6.72	1.62	2.55	0.00	5.10	0.00	0.00	0.00	0.00	6.71	0.00	6.71	0.00	6.71	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	9527.00	L	R-Reported	GNS_DEF_>=220_0_0_all	654.00	654	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	3.52	4.72	5.04	4.04	2.05	2.10	2.74	15.57	14.74	28.95	0.00	28.95	43.43	115.81	28.95	14.48	28.95	14.48	3.06	0.00	6.48	0.00	6.12	13.33	0.00	3.06	0.00	0.00	0.00	0.00	5.99	5.99	0.00	0.00	
tur.27.3a	2022	2	27.3.a.20	Denmark	65096.00	L	R-Reported	GNS_DEF_120-219_0_0_all	7136.00	7136	0.00	123	0.00	3	0.00	0.00	77.89	0.00	389.47	701.04	856.83	778.94	1102.80	1352.84	2738.49	737.91	614.93	245.97	0.00	245.97	312.09	252.14	126.07	252.14	0.00	0.00	63.04	63.04	0.00	21.10	0.00	21.10	63.31	0.00	0.00	21.10	0.00	0.00	0.00	0.00	24.95	0.00	24.95	0.00	24.95	0.00	
tur.27.3a	2022	3	27.3.a.20	Denmark	5250.00	L	R-Reported	TBB_DEF_>=120_0_0_all	272.00	272	0.00	123	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.16	23.99	32.24	34.40	27.54	13.96	14.35	18.66	11.16	5.45	7.36	0.00	7.36	11.04	29.44	7.36	3.68	7.36	3.68	0.93	0.00	1.96	0.00	1.85	4.03	0.00	0.93	0.00	0.00	0.00	0.00	0.31	0.31	0.00	0.00	
