Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Germany	4	Quarter	2022	tur.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	15249	kWd	166.00	Landings	R-Reported	Imported
Sweden	4	Quarter	2022	tur.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	105777	kWd	325.90	Landings	R-Reported	Imported
Sweden	3	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	304742	kWd	63.60	Landings	R-Reported	Imported
Sweden	2	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	224752	kWd	279.10	Landings	R-Reported	Imported
Sweden	3	Quarter	2022	tur.27.3a	27.3.a.21	OTB_CRU_70-89_2_35_all	111874	kWd	1.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2022	tur.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	96030	kWd	255.90	Landings	R-Reported	Imported
Sweden	1	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	186773	kWd	268.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2022	tur.27.3a	27.3.a.21	GNS_DEF_all_0_0_all	4057	kWd	361.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2022	tur.27.3a	27.3.a.21	GTR_DEF_all_0_0_all	6745	kWd	1531.10	Landings	R-Reported	Imported
Sweden	4	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_32-69_0_0_all	200891	kWd	0.00	Discards	R-Reported	Imported
Sweden	4	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	189323	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2022	tur.27.3a	27.3.a.21	OTB_CRU_32-69_0_0_all	2360	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	1	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	153282	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	4	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_32-69_2_22_all	83995	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	3	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_32-69_0_0_all	181487	kWd	0.00	Discards	R-Reported	Imported
Sweden	3	Quarter	2022	tur.27.3a	27.3.a.21	GNS_DEF_all_0_0_all	6989	kWd	413.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2022	tur.27.3a	27.3.a.21	FPO_CRU_0_0_0_all	14997	kWd	0.00	Landings	R-Reported	Imported
Sweden	3	Quarter	2022	tur.27.3a	27.3.a.20	GTR_DEF_all_0_0_all	5614	kWd	83.40	Landings	R-Reported	Imported
Sweden	1	Quarter	2022	tur.27.3a	27.3.a.21	GTR_DEF_all_0_0_all	1760	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	3	Quarter	2022	tur.27.3a	27.3.a.20	GNS_DEF_all_0_0_all	3519	kWd	3.30	Landings	R-Reported	Imported
Sweden	3	Quarter	2022	tur.27.3a	27.3.a.21	LLS_FIF_0_0_0_all	22466	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	4	Quarter	2022	tur.27.3a	27.3.a.20	LLS_FIF_0_0_0_all	1914	kWd	0.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2022	tur.27.3a	27.3.a.20	OTB_CRU_32-69_0_0_all	137819	kWd	0.00	Discards	R-Reported	Imported
