Mean weights at Lngt Lngt:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt190	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	UndeterminedLngt490	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt550	
tur.27.3a	2023	3	27.3.a.20	Denmark	9634.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	1728.00	1728	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	466.52	0.00	526.68	575.14	604.97	710.16	748.00	795.28	966.67	1047.87	1126.55	1221.27	1217.26	1411.86	1488.80	1654.44	1780.53	1928.14	1960.27	2140.64	2376.20	2506.64	2510.74	2733.41	2860.16	0.00	0.00	3507.62	
tur.27.3a	2023	3	27.3.a.20	Denmark	57487.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	791.00	791	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	466.52	0.00	526.68	575.14	604.97	710.16	717.30	795.28	890.54	953.74	1075.94	1198.84	1217.26	1411.86	1488.80	1654.44	1802.08	1928.82	1975.04	2167.13	2376.20	2506.64	2510.74	2733.41	2860.16	0.00	0.00	3507.62	
tur.27.3a	2023	1	27.3.a.20	Denmark	307767.00	Landings	R-Reported	OTB_CRU_32-69_0_0_all	4.00	4	0.00	56	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1107.44	1129.24	1179.38	1185.92	1260.40	1513.40	1716.75	1612.11	0.00	2213.79	2318.43	2335.65	2451.96	0.00	3024.02	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2023	2	27.3.a.20	Germany	21199.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	61.00	100	0.00	2	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1366.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2472.40	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2023	1	27.3.a.20	Denmark	36936.00	Landings	R-Reported	SDN_DEF_>=120_0_0_all	104.00	104	0.00	56	0.00	3	0.00	0.00	247.43	0.00	288.85	352.80	385.86	478.51	0.00	527.56	572.80	0.00	0.00	759.73	864.37	0.00	996.04	1089.58	1149.19	1185.92	1260.40	1513.40	1716.75	1612.11	0.00	2213.79	2318.43	2183.48	2451.96	0.00	3024.02	0.00	0.00	3377.91	3613.35	4164.89	
tur.27.3a	2023	3	27.3.a.20	Denmark	491615.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	1309.00	1309	0.00	13	0.00	5	136.00	170.00	231.00	250.67	305.00	285.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2023	1	27.3.a.20	Denmark	4845.00	Landings	R-Reported	SSC_DEF_>=120_0_0_all	2.00	2	0.00	56	0.00	3	0.00	0.00	247.43	0.00	288.85	352.80	385.86	478.51	0.00	527.56	572.80	0.00	0.00	759.73	864.37	0.00	995.48	1088.54	1148.62	1185.92	1260.40	1513.40	1716.75	1612.11	0.00	0.00	0.00	2017.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2023	1	27.3.a.20	Denmark	15006.00	Landings	R-Reported	TBB_DEF_>=120_0_0_all	629.00	629	0.00	56	0.00	3	0.00	0.00	247.43	0.00	288.85	352.80	385.86	478.51	0.00	527.56	572.80	0.00	0.00	759.73	864.37	0.00	1002.83	1099.44	1155.01	1185.92	1260.40	1513.40	1716.75	1612.11	0.00	2213.79	2318.43	2135.20	2451.96	0.00	3024.02	0.00	0.00	3377.91	3613.35	4164.89	
tur.27.3a	2023	1	27.3.a.20	Denmark	125046.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	4160.00	4160	0.00	56	0.00	3	0.00	0.00	247.43	0.00	288.85	352.80	385.86	478.51	0.00	527.56	572.80	0.00	0.00	759.73	864.37	0.00	997.38	1091.91	1150.49	1185.92	1260.40	1513.40	1716.75	1612.11	0.00	2213.79	2318.43	2114.72	2451.96	0.00	3024.02	0.00	0.00	3377.91	3613.35	4164.89	
tur.27.3a	2023	3	27.3.a.20	Denmark	56263.00	Landings	R-Reported	GNS_DEF_120-219_0_0_all	2218.00	2218	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	466.52	0.00	526.68	575.14	604.97	710.16	719.11	795.28	901.68	970.51	1094.62	1209.03	1217.26	1411.86	1488.80	1654.44	1776.06	1928.01	1957.20	2133.08	2376.20	2506.64	2510.74	2733.41	2860.16	0.00	0.00	3507.62	
