Numbers at Lngt:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt190	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	UndeterminedLngt490	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt550	
tur.27.3a	2023	3	27.3.a.20	Denmark	491615.00	L	R-Reported	OTB_CRU_90-119_0_0_all	8765.00	8765	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	38.37	0.00	363.81	156.15	743.69	857.68	910.49	931.49	768.82	734.52	523.43	350.04	112.90	267.28	339.10	376.98	133.75	350.28	133.97	82.72	54.21	46.74	47.60	47.85	6.68	0.00	0.00	92.68	
tur.27.3a	2023	1	27.3.a.20	Denmark	11433.00	L	R-Reported	GNS_DEF_>=220_0_0_all	48.00	48	0.00	56	0.00	3	0.00	0.00	1.11	0.00	1.11	3.34	1.66	1.11	0.00	1.11	2.23	0.00	0.00	1.11	2.78	0.00	3.15	2.74	2.92	0.37	1.26	3.74	0.42	0.83	0.00	0.40	0.42	2.04	0.78	0.00	1.22	0.00	0.00	0.84	0.80	0.84	
tur.27.3a	2023	2	27.3.a.20	Germany	21199.00	L	R-Reported	OTB_DEF_>=120_0_0_all	61.00	100	0.00	2	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2023	1	27.3.a.20	Denmark	36936.00	L	R-Reported	SDN_DEF_>=120_0_0_all	104.00	104	0.00	56	0.00	3	0.00	0.00	3.77	0.00	3.77	11.31	5.63	3.77	0.00	3.77	7.54	0.00	0.00	3.77	9.40	0.00	10.63	9.12	9.76	1.22	4.13	12.30	1.39	2.74	0.00	0.33	0.34	2.72	0.64	0.00	1.00	0.00	0.00	0.19	0.18	0.19	
tur.27.3a	2023	1	27.3.a.20	Denmark	307767.00	L	R-Reported	OTB_CRU_32-69_0_0_all	4.00	4	0.00	56	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.12	0.09	0.03	0.09	0.27	0.03	0.06	0.00	0.11	0.11	0.47	0.21	0.00	0.33	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2023	3	27.3.a.20	Denmark	132082.00	L	R-Reported	SDN_DEF_>=120_0_0_all	761.00	761	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.81	0.00	45.58	19.56	93.18	107.46	112.08	116.71	88.36	81.87	43.10	21.57	6.04	14.30	18.14	20.16	7.10	18.72	7.11	4.27	2.75	2.37	2.41	2.43	0.34	0.00	0.00	7.02	
tur.27.3a	2023	3	27.3.a.20	Denmark	9634.00	L	R-Reported	GNS_DEF_>=220_0_0_all	1728.00	1728	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.00	4.39	1.88	8.97	10.35	20.78	11.24	48.40	58.69	116.65	113.59	41.15	97.42	123.60	137.40	46.28	126.86	46.32	23.20	12.90	11.12	11.33	11.39	1.59	0.00	0.00	44.14	
tur.27.3a	2023	1	27.3.a.20	Denmark	990561.00	L	R-Reported	OTB_CRU_90-119_0_0_all	27958.00	27958	0.00	56	0.00	3	0.00	0.00	921.77	0.00	921.77	2765.32	1376.21	921.77	0.00	921.77	1843.55	0.00	0.00	921.77	2297.98	0.00	2689.71	2635.37	2698.08	391.73	1321.87	3940.85	445.45	876.42	0.00	44.17	46.43	624.38	86.27	0.00	134.77	0.00	0.00	54.36	52.07	54.36	
tur.27.3a	2023	3	27.3.a.20	Denmark	491615.00	D	R-Reported	OTB_CRU_90-119_0_0_all	1309.00	1309	0.00	13	0.00	5	347.69	382.06	764.11	1111.80	1313.36	1195.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2023	1	27.3.a.20	Denmark	4845.00	L	R-Reported	SSC_DEF_>=120_0_0_all	2.00	2	0.00	56	0.00	3	0.00	0.00	0.09	0.00	0.09	0.26	0.13	0.09	0.00	0.09	0.17	0.00	0.00	0.09	0.21	0.00	0.24	0.20	0.22	0.03	0.09	0.27	0.03	0.06	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
tur.27.3a	2023	1	27.3.a.20	Denmark	15006.00	L	R-Reported	TBB_DEF_>=120_0_0_all	629.00	629	0.00	56	0.00	3	0.00	0.00	18.34	0.00	18.34	55.03	27.39	18.34	0.00	18.34	36.69	0.00	0.00	18.34	45.73	0.00	55.03	59.05	58.79	9.31	31.40	93.61	10.58	20.82	0.00	1.38	1.45	16.18	2.70	0.00	4.22	0.00	0.00	1.12	1.07	1.12	
tur.27.3a	2023	3	27.3.a.20	Denmark	57487.00	L	R-Reported	OTB_DEF_>=120_0_0_all	791.00	791	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.33	0.00	31.57	13.55	64.54	74.43	79.21	80.83	67.52	64.76	47.69	32.62	10.61	25.13	31.88	35.44	12.75	32.99	12.77	8.26	5.57	4.81	4.89	4.92	0.69	0.00	0.00	5.85	
tur.27.3a	2023	1	27.3.a.20	Denmark	125046.00	L	R-Reported	OTB_DEF_>=120_0_0_all	4160.00	4160	0.00	56	0.00	3	0.00	0.00	149.83	0.00	149.83	449.49	223.70	149.83	0.00	149.83	299.66	0.00	0.00	149.83	373.52	0.00	427.28	384.99	405.10	53.76	181.40	540.82	61.13	120.27	0.00	6.04	6.35	85.60	11.80	0.00	18.43	0.00	0.00	11.47	10.99	11.47	
tur.27.3a	2023	3	27.3.a.20	Denmark	56263.00	L	R-Reported	GNS_DEF_120-219_0_0_all	2218.00	2218	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.49	0.00	61.55	26.42	125.83	145.11	158.85	157.60	149.25	148.69	142.63	112.81	38.60	91.38	115.93	128.88	42.85	118.81	42.87	20.18	10.54	9.08	9.25	9.30	1.30	0.00	0.00	37.42	
tur.27.3a	2023	3	27.3.a.20	Denmark	103568.00	L	R-Reported	SSC_DEF_>=120_0_0_all	74.00	74	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	2.62	1.12	5.35	6.17	6.56	6.70	5.59	5.36	3.93	2.68	0.87	2.06	2.62	2.91	1.18	2.75	1.19	1.07	0.84	0.72	0.74	0.74	0.10	0.00	0.00	1.46	
tur.27.3a	2023	1	27.3.a.20	Denmark	38365.00	L	R-Reported	GNS_DEF_120-219_0_0_all	285.00	285	0.00	56	0.00	3	0.00	0.00	16.71	0.00	16.71	50.14	24.95	16.71	0.00	16.71	33.43	0.00	0.00	16.71	41.67	0.00	42.23	19.16	26.84	0.56	1.88	5.62	0.63	1.25	0.00	0.51	0.54	2.70	0.99	0.00	1.55	0.00	0.00	4.48	4.29	4.48	
