Mean weights at Lngt Lngt:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt70	UndeterminedLngt80	UndeterminedLngt90	UndeterminedLngt100	UndeterminedLngt110	UndeterminedLngt120	UndeterminedLngt130	UndeterminedLngt140	UndeterminedLngt150	UndeterminedLngt160	UndeterminedLngt170	UndeterminedLngt180	UndeterminedLngt190	UndeterminedLngt200	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	
whg.27.3a	2022	2	27.3.a.20	Sweden	216596.00	Discards	R-Reported	OTB_CRU_70-89_2_35_all	1139.08	0.00	0.00	42	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.06	24.85	30.35	36.62	43.72	51.70	60.61	70.51	81.45	93.48	106.67	121.06	136.71	153.68	172.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	3	27.3.a.21	Sweden	154471.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	5058.57	0.00	0.00	83	0.00	2	2.34	0.00	0.00	7.07	9.50	12.44	15.94	20.06	0.00	30.35	36.62	43.72	51.70	60.61	70.51	81.45	93.48	106.67	121.06	136.71	153.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	3	27.3.a.20	Sweden	247437.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	13272.48	0.00	0.00	190	0.00	4	2.34	3.54	5.10	7.07	9.50	12.44	15.94	20.06	0.00	30.35	36.62	43.72	51.70	60.61	70.51	81.45	93.48	106.67	121.06	136.71	153.68	172.02	191.78	213.04	235.83	260.22	286.27	314.03	0.00	0.00	0.00	0.00	480.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	4	27.3.a.21	Sweden	58992.00	Discards	R-Reported	OTB_CRU_70-89_2_35_all	411.87	0.00	0.00	34	0.00	2	0.00	0.00	0.00	0.00	0.00	12.44	0.00	20.06	0.00	0.00	36.62	43.72	51.70	60.61	70.51	81.45	93.48	106.67	121.06	136.71	153.68	172.02	191.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	2	27.3.a.21	Sweden	146827.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	4231.16	0.00	0.00	146	0.00	4	0.00	0.00	0.00	0.00	9.50	12.44	15.94	20.06	24.85	30.35	36.62	43.72	51.70	60.61	70.51	81.45	93.48	106.67	121.06	136.71	153.68	172.02	191.78	0.00	235.83	260.22	0.00	0.00	0.00	0.00	408.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	1	27.3.a.21	Sweden	48850.00	Discards	R-Reported	OTB_CRU_70-89_2_35_all	739.11	0.00	0.00	50	0.00	3	0.00	0.00	0.00	0.00	9.50	0.00	0.00	20.06	24.85	30.35	0.00	0.00	51.70	60.61	70.51	81.45	93.48	106.67	0.00	136.71	153.68	172.02	191.78	213.04	0.00	260.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	4	27.3.a.21	Denmark	-9.00	Landings	R-Reported	OTB_CRU_70-89_2_35_all	2.00	2	0.00	116	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	167.56	205.32	0.00	204.14	248.98	272.58	294.41	328.04	387.63	378.19	419.49	446.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	1	27.3.a.20	Denmark	-9.00	Landings	R-Reported	OTB_CRU_90-119_0_0_all	90036.00	90036	0.00	174	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	147.50	159.30	0.00	221.84	249.57	267.86	298.54	313.29	354.07	428.72	421.50	479.78	516.43	513.96	581.78	639.25	679.59	697.86	714.57	793.73	792.43	993.36	1050.20	
whg.27.3a	2022	4	27.3.a.20	Denmark	-9.00	Landings	R-Reported	SDN_DEF_>=120_0_0_all	453.00	453	0.00	236	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	147.50	159.30	0.00	221.84	249.57	267.86	321.25	342.23	367.86	402.92	425.29	555.43	504.42	527.81	637.44	665.31	676.21	715.73	743.72	743.22	788.46	952.70	1014.80	
whg.27.3a	2022	2	27.3.a.20	Denmark	-9.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	49361.00	49361	0.00	184	0.00	6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	32.00	28.00	46.00	45.00	50.00	53.50	75.00	67.00	82.67	88.00	96.33	134.33	142.00	149.75	176.25	204.20	237.00	199.00	278.00	290.50	274.00	421.00	389.29	0.00	580.00	496.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
