Numbers at Lngt:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt70	UndeterminedLngt80	UndeterminedLngt90	UndeterminedLngt100	UndeterminedLngt110	UndeterminedLngt120	UndeterminedLngt130	UndeterminedLngt140	UndeterminedLngt150	UndeterminedLngt160	UndeterminedLngt170	UndeterminedLngt180	UndeterminedLngt190	UndeterminedLngt200	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	
whg.27.3a	2022	4	27.3.a.20	Denmark	18503.00	L	R-Reported	SSC_DEF_>=120_0_0_all	62.00	62	0.00	236	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.00	0.19	0.48	0.53	0.61	1.24	1.77	3.38	2.53	4.72	7.90	12.87	6.99	9.97	10.42	13.03	4.30	8.78	4.94	4.71	0.14	
whg.27.3a	2022	4	27.3.a.20	Denmark	1.00	L	R-Reported	LLS_FIF_0_0_0_all	2.00	2	0.00	236	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.37	0.18	0.37	0.37	0.55	0.18	0.37	0.18	0.18	0.00	
whg.27.3a	2022	4	27.3.a.20	Denmark	-9.00	L	R-Reported	OTB_DEF_>=120_0_0_all	910.00	910	0.00	236	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.15	0.00	0.58	1.45	1.60	11.44	26.84	55.48	114.77	77.34	164.16	155.55	225.11	134.50	123.54	142.33	115.36	35.71	81.56	61.62	51.35	5.21	
whg.27.3a	2022	4	27.3.a.20	Denmark	21960.00	L	R-Reported	OTB_SPF_32-69_0_0_all	1244.00	1244	0.00	236	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	112.92	225.84	112.92	225.84	225.84	338.76	112.92	225.84	112.92	112.92	0.00	
whg.27.3a	2022	4	27.3.a.21	Sweden	58992.00	D	R-Reported	OTB_CRU_70-89_2_35_all	411.87	0.00	0.00	34	0.00	2	0.00	0.00	0.00	0.00	0.00	126.07	0.00	108.89	0.00	0.00	126.07	194.85	412.64	538.70	429.81	624.66	1140.43	108.89	234.96	234.96	126.07	217.79	126.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	3	27.3.a.21	Sweden	154471.00	D	R-Reported	OTB_CRU_90-119_0_0_all	5058.57	0.00	0.00	83	0.00	2	1777.47	0.00	0.00	2401.88	10712.69	11913.63	3554.94	1777.47	0.00	2603.61	1710.04	11201.91	13056.47	4313.65	7137.87	8770.82	8175.96	3564.60	3871.98	816.47	1200.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	3	27.3.a.20	Sweden	247437.00	D	R-Reported	OTB_CRU_90-119_0_0_all	13272.48	0.00	0.00	190	0.00	4	2269.61	3637.25	5906.85	5906.85	3840.99	5761.42	8031.03	3782.68	0.00	1513.07	1367.64	4102.91	11231.97	17779.29	18914.03	6721.98	5529.14	4656.17	5616.45	2037.05	4044.94	9341.24	9166.93	6111.14	2619.01	3026.49	174.60	814.84	0.00	0.00	0.00	0.00	174.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	2	27.3.a.20	Sweden	216596.00	D	R-Reported	OTB_CRU_70-89_2_35_all	1139.08	0.00	0.00	42	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	269.38	359.11	1391.66	2738.56	2065.14	1302.16	1077.32	718.21	1391.68	538.76	1391.73	763.24	1481.68	359.11	269.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	1	27.3.a.21	Sweden	48850.00	D	R-Reported	OTB_CRU_70-89_2_35_all	739.11	0.00	0.00	50	0.00	3	0.00	0.00	0.00	0.00	163.33	0.00	0.00	326.66	163.33	163.33	0.00	0.00	618.59	910.53	574.08	945.25	455.27	866.02	0.00	455.27	410.76	574.08	376.04	247.43	0.00	128.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2022	2	27.3.a.21	Sweden	146827.00	D	R-Reported	OTB_CRU_90-119_0_0_all	4231.16	0.00	0.00	146	0.00	4	0.00	0.00	0.00	0.00	300.82	4311.81	2924.71	3726.80	5581.88	2857.83	3693.73	2456.72	2540.25	5364.57	3476.11	2657.16	5214.27	4027.73	3710.15	1604.39	1788.30	1537.51	618.39	0.00	551.51	551.51	0.00	0.00	0.00	0.00	367.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
