Mean weights at Lngt Lngt:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt70	UndeterminedLngt80	UndeterminedLngt90	UndeterminedLngt100	UndeterminedLngt110	UndeterminedLngt120	UndeterminedLngt130	UndeterminedLngt140	UndeterminedLngt150	UndeterminedLngt160	UndeterminedLngt170	UndeterminedLngt180	UndeterminedLngt190	UndeterminedLngt200	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	UndeterminedLngt490	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt550	UndeterminedLngt560	UndeterminedLngt570	UndeterminedLngt580	UndeterminedLngt590	UndeterminedLngt600	UndeterminedLngt610	UndeterminedLngt620	UndeterminedLngt630	UndeterminedLngt640	UndeterminedLngt650	UndeterminedLngt690	UndeterminedLngt740	
whg.27.3a	2023	2	27.3.a.20	Denmark	701360.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	21486.00	21486	0.00	730	0.00	14	0.00	0.00	0.00	0.00	0.00	0.00	16.65	19.50	27.00	29.00	36.60	44.80	51.83	61.50	74.11	83.58	100.11	104.08	125.62	142.76	164.93	178.85	206.33	221.11	245.33	265.50	269.25	339.20	354.20	418.00	442.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	2	27.3.a.21	Denmark	430115.00	Landings	R-Reported	OTB_CRU_90-119_0_0_all_FDF	775.00	775	0.00	258	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	189.39	207.09	228.33	269.04	270.81	312.26	329.49	383.73	392.85	435.07	481.58	513.95	540.44	589.41	659.93	709.30	648.32	0.00	792.42	821.28	0.00	903.88	0.00	1065.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	2	27.3.a.20	Denmark	42755.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	1330.00	1330	0.00	132	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155.76	184.08	218.89	243.08	227.00	271.41	275.64	297.79	340.03	413.49	369.36	405.28	481.44	515.07	501.61	616.56	662.84	661.98	718.30	762.13	850.19	953.44	0.00	930.23	1113.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	1	27.3.a.20	Denmark	125046.00	Discards	R-Reported	OTB_DEF_>=120_0_0_all	6183.00	6183	0.00	112	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.50	0.00	38.71	46.75	0.00	61.50	70.70	82.92	99.00	112.08	128.88	141.83	166.00	192.67	208.37	231.07	0.00	292.08	0.00	346.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	3	27.3.a.20	Denmark	379011.00	Landings	R-Reported	OTB_CRU_32-69_0_0_all	1401.00	1401	0.00	744	0.00	7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	364.51	376.74	398.19	466.08	696.69	550.38	616.57	663.77	703.71	747.42	822.83	868.04	919.42	993.05	1115.08	1166.41	1213.33	1287.00	1315.86	1408.01	1515.35	1606.64	1568.97	1731.60	1932.84	1958.58	1877.27	0.00	0.00	0.00	0.00	2650.05	0.00	0.00	0.00	4306.77	
whg.27.3a	2023	4	27.3.a.20	Denmark	1675.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	15.00	15	0.00	1360	0.00	17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	200.07	210.02	242.19	307.13	325.26	339.89	375.18	426.75	456.40	499.50	538.90	591.11	616.10	662.25	698.95	760.78	833.05	936.82	964.94	1061.12	1164.03	1229.11	1271.07	1382.69	1461.84	1544.33	1637.30	1640.88	1860.43	1744.47	1833.98	2016.50	1972.62	1744.47	0.00	2609.23	2676.96	0.00	3176.55	0.00	0.00	
whg.27.3a	2023	1	27.3.a.20	Denmark	1.00	Landings	R-Reported	LLS_FIF_0_0_0_all	1818.00	1818	0.00	724	0.00	8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	403.97	378.55	438.95	459.49	489.55	547.16	595.46	651.42	701.34	747.33	814.06	896.34	961.44	1001.02	1032.28	1127.75	1171.88	1202.72	1325.19	1425.78	1450.92	1539.14	1567.57	1710.22	1556.10	1959.17	2057.64	0.00	1829.30	0.00	2086.11	0.00	2280.33	0.00	0.00	2612.61	
whg.27.3a	2023	2	27.3.a.21	Denmark	430115.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all_FDF	21232.00	21232	0.00	293	0.00	9	0.00	0.00	0.00	0.00	14.00	15.40	17.60	22.00	25.47	30.90	36.89	45.25	54.88	61.63	70.19	81.27	91.55	94.00	121.50	128.71	162.40	148.67	169.00	231.75	233.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	1	27.3.a.20	Denmark	990561.00	Landings	R-Reported	OTB_CRU_90-119_0_0_all	118394.00	118394	0.00	259	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155.76	184.08	218.89	243.08	267.86	268.16	320.75	317.52	385.65	419.52	466.62	478.19	475.94	575.08	594.73	684.43	665.88	737.83	809.79	865.67	869.78	0.00	1143.42	0.00	0.00	0.00	0.00	1418.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	3	27.3.a.20	Denmark	491615.00	Discards	R-Reported	OTB_CRU_90-119_0_0_all	4454.00	4454	0.00	83	0.00	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	30.00	36.00	42.00	57.00	59.00	66.00	76.00	89.67	102.00	120.00	116.67	138.00	146.33	174.25	210.60	229.67	223.00	249.50	305.00	309.00	326.00	337.00	430.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
