Numbers at Lngt:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt70	UndeterminedLngt80	UndeterminedLngt90	UndeterminedLngt100	UndeterminedLngt110	UndeterminedLngt120	UndeterminedLngt130	UndeterminedLngt140	UndeterminedLngt150	UndeterminedLngt160	UndeterminedLngt170	UndeterminedLngt180	UndeterminedLngt190	UndeterminedLngt200	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt270	UndeterminedLngt280	UndeterminedLngt290	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt370	UndeterminedLngt380	UndeterminedLngt390	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt470	UndeterminedLngt480	UndeterminedLngt490	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt550	UndeterminedLngt560	UndeterminedLngt570	UndeterminedLngt580	UndeterminedLngt590	UndeterminedLngt600	UndeterminedLngt610	UndeterminedLngt620	UndeterminedLngt630	UndeterminedLngt640	UndeterminedLngt650	UndeterminedLngt690	UndeterminedLngt740	
whg.27.3a	2023	2	27.3.a.21	Denmark	145293.00	D	R-Reported	OTB_CRU_90-119_0_0_all	13451.00	13451	0.00	407	0.00	7	0.00	0.00	0.00	0.00	0.00	1319.28	6927.95	7500.41	15398.63	19798.20	12690.53	10716.77	22048.60	26818.05	25378.40	21721.80	10130.89	10288.93	6968.90	4710.80	2414.17	326.53	0.00	1533.62	0.00	1207.09	1207.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	4	27.3.a.20	Denmark	61042.00	L	R-Reported	SDN_DEF_>=120_0_0_all	882.00	882	0.00	238	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.54	2.22	17.76	8.88	14.49	21.35	44.50	41.86	38.26	100.69	91.20	85.93	100.72	101.87	113.17	56.89	117.60	179.04	24.43	28.24	126.17	77.31	28.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	2	27.3.a.20	Denmark	67351.00	L	R-Reported	GNS_DEF_120-219_0_0_all	26.00	26	0.00	132	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.19	1.50	2.25	5.90	4.51	4.50	6.30	5.58	4.44	4.26	1.77	4.14	4.35	3.00	2.66	2.83	0.91	1.08	0.96	0.45	0.11	0.00	0.90	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	4	27.3.a.21	Sweden	107885.00	L	R-Reported	OTB_CRU_90-119_0_0_all	255.30	0.00	0.00	49	0.00	4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.81	74.43	173.67	248.09	272.90	223.28	99.24	0.00	0.00	24.81	0.00	24.81	24.81	0.00	0.00	0.00	0.00	24.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	1	27.3.a.20	Sweden	213092.00	L	R-Reported	OTB_CRU_90-119_0_0_all	10780.80	0.00	0.00	21	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	915.97	0.00	915.97	915.97	915.97	1831.94	0.00	915.97	0.00	915.97	2747.92	2747.92	0.00	915.97	0.00	0.00	3663.89	0.00	0.00	0.00	915.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	915.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	4	27.3.a.20	Denmark	273469.00	L	R-Reported	OTB_CRU_32-69_0_0_all	8.00	8	0.00	238	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.08	0.65	0.32	0.24	0.48	0.89	0.65	0.81	0.81	0.48	0.16	0.34	0.59	1.02	0.51	1.02	1.78	0.25	0.25	1.27	0.76	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	1	27.3.a.20	Denmark	38365.00	L	R-Reported	GNS_DEF_120-219_0_0_all	61.00	61	0.00	259	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54	0.54	4.31	6.47	11.29	11.82	14.18	13.67	12.81	12.86	12.20	10.60	6.06	8.77	10.01	2.08	2.63	1.76	1.12	1.20	0.88	0.00	0.08	0.00	0.00	0.00	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	2	27.3.a.20	Denmark	447876.00	L	R-Reported	OTB_CRU_32-69_0_0_all	9514.00	9514	0.00	677	0.00	9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	3.22	35.02	61.01	120.46	157.22	219.71	285.74	479.30	423.84	463.20	351.61	352.19	426.60	230.19	775.52	512.35	670.39	893.07	335.38	692.25	258.39	111.31	151.81	79.49	75.91	76.60	0.00	35.40	36.16	0.00	0.00	0.00	36.16	0.00	
whg.27.3a	2023	4	27.3.a.20	Denmark	2940.00	L	R-Reported	TBB_DEF_>=120_0_0_all	227.00	227	0.00	1360	0.00	17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.37	7.85	14.07	25.48	28.33	32.25	30.92	23.17	19.89	14.58	11.97	10.68	7.26	4.75	2.70	3.74	3.01	2.23	1.45	0.41	0.21	0.23	0.11	0.34	0.00	0.84	0.11	0.00	0.12	0.00	0.00	
whg.27.3a	2023	2	27.3.a.20	Denmark	701360.00	L	R-Reported	OTB_CRU_90-119_0_0_all	15087.00	15087	0.00	132	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.50	72.50	580.03	870.04	2718.58	1830.74	1826.32	2958.66	2768.15	2238.05	2572.06	1032.84	2473.35	2640.93	2088.82	1792.69	2046.15	789.68	832.35	733.64	394.84	98.71	0.00	578.88	98.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	1	27.3.a.20	Denmark	125046.00	L	R-Reported	OTB_DEF_>=120_0_0_all	6140.00	6140	0.00	259	0.00	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.56	15.56	124.48	186.72	325.81	341.37	512.85	498.24	574.07	671.72	856.79	741.84	413.71	966.41	1500.10	816.74	523.32	348.88	525.34	642.30	174.44	0.00	116.97	0.00	0.00	0.00	0.00	57.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	2	27.3.a.20	Denmark	112245.00	L	R-Reported	SDN_DEF_>=120_0_0_all	9467.00	9467	0.00	132	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	30.60	30.60	244.83	367.25	1181.92	779.65	777.78	1290.14	1216.61	985.97	1235.11	463.49	1112.81	1190.42	1641.84	1274.93	1778.23	978.44	842.05	719.74	489.22	122.30	0.00	338.75	122.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	1	27.3.a.20	Sweden	193130.00	D	R-Reported	OTB_CRU_70-89_2_35_all	4886.57	0.00	0.00	34	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1957.03	0.00	651.95	3260.93	5871.10	7135.55	7828.14	2589.26	1957.03	3914.07	733.89	9112.31	1957.03	7828.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	1	27.3.a.21	Sweden	60467.00	D	R-Reported	OTB_CRU_70-89_2_35_all	728.65	0.00	0.00	51	0.00	3	0.00	0.00	0.00	393.43	372.76	1532.39	3002.78	3851.63	1925.82	1118.29	953.20	1118.29	507.44	528.10	900.51	134.67	0.00	0.00	507.44	134.67	0.00	0.00	331.27	0.00	0.00	331.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	4	27.3.a.21	Sweden	107885.00	D	R-Reported	OTB_CRU_90-119_0_0_all	20679.27	0.00	0.00	257	0.00	5	0.00	308.09	128.24	0.00	419.74	559.65	1054.23	291.50	536.36	664.60	13416.95	12615.44	40651.34	43913.49	36678.22	39789.08	27441.95	10758.60	14818.22	5924.85	4768.36	471.34	179.84	0.00	2436.66	373.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
whg.27.3a	2023	2	27.3.a.21	Sweden	106390.00	D	R-Reported	OTB_CRU_90-119_0_0_all	12882.96	0.00	0.00	405	0.00	4	0.00	0.00	0.00	0.00	440.20	1404.42	2662.23	8693.80	18446.18	27940.56	30005.44	28951.34	30329.10	28366.57	20538.18	12671.48	11226.11	2370.40	3980.30	1242.17	964.22	831.87	570.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
