Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Norway	4	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	-9	NA	138.00	Landings	R-Reported	Imported
Germany	3	Quarter	2023	whg.27.3a	27.3.a.20	OTB_DEF_>=120_0_0_all	39199	kWd	613.00	Landings	R-Reported	Imported
Norway	3	Quarter	2023	whg.27.3a	27.3.a.20	GNS_DEF_all_0_0_all	-9	NA	27.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2023	whg.27.3a	27.3.a.21	MIS_MIS_0_0_0_HC	18465	kWd	0.00	BMS landing	R-Reported	Imported
Denmark	2	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	145293	kWd	13451.00	Discards	R-Reported	Imported
Denmark	2	Quarter	2023	whg.27.3a	27.3.a.20	GNS_DEF_120-219_0_0_all	67351	kWd	26.00	Landings	R-Reported	Imported
Germany	2	Quarter	2023	whg.27.3a	27.3.a.20	GNS_DEF_all_0_0_all	3978	kWd	0.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all_FDF	289426	kWd	0.00	BMS landing	R-Reported	Imported
Denmark	3	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all_FDF	602963	kWd	0.00	BMS landing	R-Reported	Imported
Denmark	4	Quarter	2023	whg.27.3a	27.3.a.20	SDN_DEF_>=120_0_0_all	61042	kWd	882.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	193130	kWd	4886.57	Discards	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_70-89_2_35_all	60467	kWd	728.65	Discards	R-Reported	Imported
Sweden	4	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	107885	kWd	20679.27	Discards	R-Reported	Imported
Sweden	2	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_90-119_0_0_all	106390	kWd	12882.96	Discards	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_70-89_2_35_all	87299	kWd	751.88	Discards	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.21	GNS_DEF_all_0_0_all	4715	kWd	7.73	Discards	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_70-89_2_35_all	282747	kWd	2450.54	Discards	R-Reported	Imported
Sweden	2	Quarter	2023	whg.27.3a	27.3.a.21	GNS_DEF_all_0_0_all	2704	kWd	1.56	Discards	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_32-69_0_0_all	104863	kWd	19.82	Discards	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_90-119_0_0_all	213092	kWd	807.40	Discards	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.20	OTB_CRU_32-69_2_22_all	80473	kWd	0.00	Discards	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.21	OTB_CRU_32-69_0_0_all	441	kWd	0.00	Landings	R-Reported	Imported
Sweden	4	Quarter	2023	whg.27.3a	27.3.a.20	FPO_CRU_0_0_0_all	138917	kWd	14.00	Landings	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.21	MIS_MIS_0_0_0_HC	11372	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	1	Quarter	2023	whg.27.3a	27.3.a.21	GTR_DEF_all_0_0_all	580	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	3	Quarter	2023	whg.27.3a	27.3.a.21	GTR_DEF_all_0_0_all	1904	kWd	0.00	Landings	R-Reported	Imported
