Mean weights at Lngt Lngt:
Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt150	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt280	UndeterminedLngt260	UndeterminedLngt250	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt380	UndeterminedLngt360	UndeterminedLngt350	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt480	UndeterminedLngt460	UndeterminedLngt450	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt550	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	5634.00	Landings	R-Reported	GNS_DEF_>=220_0_0_all	1826.00	1826	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	466.52	0.00	526.66	585.14	604.58	810.16	846.00	855.26	566.68	1048.68	1126.55	1221.28	1218.26	1411.66	1466.60	1654.44	1860.53	1526.14	1560.28	2140.64	2386.20	2506.64	2510.84	2833.41	2660.16	0.00	0.00	3508.62	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	58468.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	851.00	851	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	466.52	0.00	526.66	585.14	604.58	810.16	818.30	855.26	650.54	553.84	1085.54	1156.64	1218.26	1411.66	1466.60	1654.44	1602.06	1526.62	1585.04	2168.13	2386.20	2506.64	2510.84	2833.41	2660.16	0.00	0.00	3508.62	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	308868.00	Landings	R-Reported	OTB_CRU_32-65_0_0_all	4.00	4	0.00	56	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1108.44	1125.24	1185.36	1165.52	1260.40	1513.40	1816.85	1612.11	0.00	2213.85	2316.43	2335.65	2451.56	0.00	3024.02	0.00	0.00	0.00	0.00	0.00	
cod.27.21	2022	2	27.3.a.21	Germany	21155.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	61.00	100	0.00	2	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1366.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2482.40	0.00	0.00	0.00	0.00	0.00	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	36536.00	Landings	R-Reported	SDN_DEF_>=120_0_0_all	104.00	104	0.00	56	0.00	3	0.00	0.00	248.43	0.00	266.65	352.60	365.66	486.51	0.00	528.56	582.60	0.00	0.00	855.83	664.38	0.00	556.04	1065.56	1145.15	1165.52	1260.40	1513.40	1816.85	1612.11	0.00	2213.85	2316.43	2163.46	2451.56	0.00	3024.02	0.00	0.00	3388.51	3613.35	4164.65	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	451615.00	Discards	R-Reported	OTB_CRU_50-115_0_0_all	1305.00	1305	0.00	13	0.00	5	136.00	180.00	231.00	250.68	305.00	265.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	4645.00	Landings	R-Reported	SSC_DEF_>=120_0_0_all	2.00	2	0.00	56	0.00	3	0.00	0.00	248.43	0.00	266.65	352.60	365.66	486.51	0.00	528.56	582.60	0.00	0.00	855.83	664.38	0.00	555.46	1066.54	1146.62	1165.52	1260.40	1513.40	1816.85	1612.11	0.00	0.00	0.00	2018.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	15006.00	Landings	R-Reported	TBB_DEF_>=120_0_0_all	625.00	625	0.00	56	0.00	3	0.00	0.00	248.43	0.00	266.65	352.60	365.66	486.51	0.00	528.56	582.60	0.00	0.00	855.83	664.38	0.00	1002.63	1055.44	1155.01	1165.52	1260.40	1513.40	1816.85	1612.11	0.00	2213.85	2316.43	2135.20	2451.56	0.00	3024.02	0.00	0.00	3388.51	3613.35	4164.65	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	125046.00	Landings	R-Reported	OTB_DEF_>=120_0_0_all	4160.00	4160	0.00	56	0.00	3	0.00	0.00	248.43	0.00	266.65	352.60	365.66	486.51	0.00	528.56	582.60	0.00	0.00	855.83	664.38	0.00	558.36	1051.51	1150.45	1165.52	1260.40	1513.40	1816.85	1612.11	0.00	2213.85	2316.43	2114.82	2451.56	0.00	3024.02	0.00	0.00	3388.51	3613.35	4164.65	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	56263.00	Landings	R-Reported	GNS_DEF_120-215_0_0_all	2216.00	2216	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	466.52	0.00	526.66	585.14	604.58	810.16	815.11	855.26	501.66	580.51	1054.62	1205.03	1218.26	1411.66	1466.60	1654.44	1886.06	1526.01	1558.20	2133.06	2386.20	2506.64	2510.84	2833.41	2660.16	0.00	0.00	3508.62	
