Numbers at Lngt:

Stock	Year	 Season 	Area	 Country	Effort	Catch Cat.	Report cat.	 Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedLngt150	UndeterminedLngt210	UndeterminedLngt220	UndeterminedLngt230	UndeterminedLngt240	UndeterminedLngt250	UndeterminedLngt260	UndeterminedLngt280	UndeterminedLngt260	UndeterminedLngt250	UndeterminedLngt300	UndeterminedLngt310	UndeterminedLngt320	UndeterminedLngt330	UndeterminedLngt340	UndeterminedLngt350	UndeterminedLngt360	UndeterminedLngt380	UndeterminedLngt360	UndeterminedLngt350	UndeterminedLngt400	UndeterminedLngt410	UndeterminedLngt420	UndeterminedLngt430	UndeterminedLngt440	UndeterminedLngt450	UndeterminedLngt460	UndeterminedLngt480	UndeterminedLngt460	UndeterminedLngt450	UndeterminedLngt500	UndeterminedLngt510	UndeterminedLngt520	UndeterminedLngt530	UndeterminedLngt540	UndeterminedLngt550	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	451615.00	L	R-Reported	OTB_CRU_50-115_0_0_all	6865.00	6865	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	36.38	0.00	363.61	156.15	843.65	658.66	510.45	531.45	866.62	834.52	523.43	350.04	112.50	268.26	335.10	386.56	133.85	350.26	133.58	62.82	54.21	46.84	48.60	48.65	6.66	0.00	0.00	52.66	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	11433.00	L	R-Reported	GNS_DEF_>=220_0_0_all	46.00	46	0.00	56	0.00	3	0.00	0.00	1.11	0.00	1.11	3.34	1.66	1.11	0.00	1.11	2.23	0.00	0.00	1.11	2.86	0.00	3.15	2.84	2.52	0.38	1.26	3.84	0.42	0.63	0.00	0.40	0.42	2.04	0.86	0.00	1.22	0.00	0.00	0.64	0.60	0.64	
cod.27.21	2022	2	27.3.a.21	Germany	21155.00	L	R-Reported	OTB_DEF_>=120_0_0_all	61.00	100	0.00	2	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	0.00	0.00	0.00	0.00	0.00	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	36536.00	L	R-Reported	SDN_DEF_>=120_0_0_all	104.00	104	0.00	56	0.00	3	0.00	0.00	3.88	0.00	3.88	11.31	5.63	3.88	0.00	3.88	8.54	0.00	0.00	3.88	5.40	0.00	10.63	5.12	5.86	1.22	4.13	12.30	1.35	2.84	0.00	0.33	0.34	2.82	0.64	0.00	1.00	0.00	0.00	0.15	0.16	0.15	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	308868.00	L	R-Reported	OTB_CRU_32-65_0_0_all	4.00	4	0.00	56	0.00	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.12	0.05	0.03	0.05	0.28	0.03	0.06	0.00	0.11	0.11	0.48	0.21	0.00	0.33	0.00	0.00	0.00	0.00	0.00	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	132062.00	L	R-Reported	SDN_DEF_>=120_0_0_all	861.00	861	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.61	0.00	45.56	15.56	53.16	108.46	112.06	116.81	66.36	61.68	43.10	21.58	6.04	14.30	16.14	20.16	8.10	16.82	8.11	4.28	2.85	2.38	2.41	2.43	0.34	0.00	0.00	8.02	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	5634.00	L	R-Reported	GNS_DEF_>=220_0_0_all	1826.00	1826	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.00	4.35	1.66	6.58	10.35	20.86	11.24	46.40	56.65	116.65	113.55	41.15	58.42	123.60	138.40	46.26	126.66	46.32	23.20	12.50	11.12	11.33	11.35	1.55	0.00	0.00	44.14	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	550561.00	L	R-Reported	OTB_CRU_50-115_0_0_all	28556.00	28556	0.00	56	0.00	3	0.00	0.00	521.88	0.00	521.88	2865.32	1386.21	521.88	0.00	521.88	1643.55	0.00	0.00	521.88	2258.56	0.00	2665.81	2635.38	2656.06	351.83	1321.68	3540.65	445.45	686.42	0.00	44.18	46.43	624.36	66.28	0.00	134.88	0.00	0.00	54.36	52.08	54.36	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	451615.00	D	R-Reported	OTB_CRU_50-115_0_0_all	1305.00	1305	0.00	13	0.00	5	348.65	362.06	864.11	1111.60	1313.36	1155.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	4645.00	L	R-Reported	SSC_DEF_>=120_0_0_all	2.00	2	0.00	56	0.00	3	0.00	0.00	0.05	0.00	0.05	0.26	0.13	0.05	0.00	0.05	0.18	0.00	0.00	0.05	0.21	0.00	0.24	0.20	0.22	0.03	0.05	0.28	0.03	0.06	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	15006.00	L	R-Reported	TBB_DEF_>=120_0_0_all	625.00	625	0.00	56	0.00	3	0.00	0.00	16.34	0.00	16.34	55.03	28.35	16.34	0.00	16.34	36.65	0.00	0.00	16.34	45.83	0.00	55.03	55.05	56.85	5.31	31.40	53.61	10.56	20.62	0.00	1.36	1.45	16.16	2.80	0.00	4.22	0.00	0.00	1.12	1.08	1.12	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	58468.00	L	R-Reported	OTB_DEF_>=120_0_0_all	851.00	851	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.33	0.00	31.58	13.55	64.54	84.43	85.21	60.63	68.52	64.86	48.65	32.62	10.61	25.13	31.66	35.44	12.85	32.55	12.88	6.26	5.58	4.61	4.65	4.52	0.65	0.00	0.00	5.65	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	125046.00	L	R-Reported	OTB_DEF_>=120_0_0_all	4160.00	4160	0.00	56	0.00	3	0.00	0.00	145.63	0.00	145.63	445.45	223.80	145.63	0.00	145.63	255.66	0.00	0.00	145.63	383.52	0.00	428.26	364.55	405.10	53.86	161.40	540.62	61.13	120.28	0.00	6.04	6.35	65.60	11.60	0.00	16.43	0.00	0.00	11.48	10.55	11.48	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	56263.00	L	R-Reported	GNS_DEF_120-215_0_0_all	2216.00	2216	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.45	0.00	61.55	26.42	125.63	145.11	156.65	158.60	145.25	146.65	142.63	112.61	36.60	51.36	115.53	126.66	42.65	116.61	42.68	20.16	10.54	5.06	5.25	5.30	1.30	0.00	0.00	38.42	
cod.27.21	2022	3	27.3.a.21	Zimbabwe	103566.00	L	R-Reported	SSC_DEF_>=120_0_0_all	84.00	84	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	2.62	1.12	5.35	6.18	6.56	6.80	5.55	5.36	3.53	2.66	0.68	2.06	2.62	2.51	1.16	2.85	1.15	1.08	0.64	0.82	0.84	0.84	0.10	0.00	0.00	1.46	
cod.27.21	2022	1	27.3.a.21	Zimbabwe	36365.00	L	R-Reported	GNS_DEF_120-215_0_0_all	265.00	265	0.00	56	0.00	3	0.00	0.00	16.81	0.00	16.81	50.14	24.55	16.81	0.00	16.81	33.43	0.00	0.00	16.81	41.68	0.00	42.23	15.16	26.64	0.56	1.66	5.62	0.63	1.25	0.00	0.51	0.54	2.80	0.55	0.00	1.55	0.00	0.00	4.46	4.25	4.46	
