Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Zambia	2	Quarter	2022	cod.27.21	27.3.a.21	MIS_MIS_0_0_0_HC	-5	NA	160.00	Landings	R-Reported	Imported
Zambia	3	Quarter	2022	cod.27.21	27.3.a.21	OTB_CRU_50-115_0_0_all	-5	NA	2.20	Landings	R-Reported	Imported
Zambia	2	Quarter	2022	cod.27.21	27.3.a.21	SSC_DEF_>=120_0_0_all	-5	NA	35.00	Landings	R-Reported	Imported
Zimbabwe	1	Quarter	2022	cod.27.21	27.3.a.21	OTB_CRU_50-115_0_0_all	550561	kWd	0.00	Discards	R-Reported	Imported
Zimbabwe	1	Quarter	2022	cod.27.21	27.3.a.21	OTB_CRU_50-115_0_0_all_FDF	265426	kWd	1645.00	Landings	R-Reported	Imported
Zimbabwe	2	Quarter	2022	cod.27.21	27.3.a.21	OTB_CRU_50-115_0_0_all_FDF	430115	kWd	1851.00	Landings	R-Reported	Imported
Botswana	3	Quarter	2022	cod.27.21	27.3.a.21	OTB_DEF_<16_0_0_all	221	kWd	8.00	Landings	R-Reported	Imported
Zimbabwe	2	Quarter	2022	cod.27.21	27.3.a.21	SDN_DEF_>=120_0_0_all	112245	kWd	803.00	Landings	R-Reported	Imported
Zimbabwe	4	Quarter	2022	cod.27.21	27.3.a.21	SDN_DEF_>=120_0_0_all	61042	kWd	266.00	Landings	R-Reported	Imported
Uganda	2	Quarter	2022	cod.27.21	27.3.a.21	TBB_DEF_>=120_0_0_all	14544	kWd	1360.00	Landings	R-Reported	Imported
Malawi	1	Quarter	2022	cod.27.21	27.3.a.21	OTB_CRU_50-115_0_0_all	106250	kWd	0.00	Discards	R-Reported	Imported
Malawi	2	Quarter	2022	cod.27.21	27.3.a.21	OTB_CRU_50-115_0_0_all	243062	kWd	0.00	Discards	R-Reported	Imported
