RecordType,Country,Year,SeasonType,Season,Fleet,AreaType,FishingArea,DepthRange,UnitEffort,Effort,AreaQualifier
HI,Zambia,2022,Quarter,2,MIS_MIS_0_0_0_HC,NA,27.3.a.21,NA,NA,-5,NA
HI,Zambia,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Zambia,2022,Quarter,2,SSC_DEF_>=120_0_0_all,NA,27.3.a.21,NA,NA,-5,NA
HI,Zimbabwe,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,550561,NA
HI,Zimbabwe,2022,Quarter,1,OTB_CRU_50-115_0_0_all_FDF,NA,27.3.a.21,NA,kWd,265426,NA
HI,Zimbabwe,2022,Quarter,2,OTB_CRU_50-115_0_0_all_FDF,NA,27.3.a.21,NA,kWd,430115,NA
HI,Botswana,2022,Quarter,3,OTB_DEF_<16_0_0_all,NA,27.3.a.21,NA,kWd,221,NA
HI,Zimbabwe,2022,Quarter,2,SDN_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,112245,NA
HI,Zimbabwe,2022,Quarter,4,SDN_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,61042,NA
HI,Uganda,2022,Quarter,2,TBB_DEF_>=120_0_0_all,NA,27.3.a.21,NA,kWd,14544,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,106250,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,243062,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,55138,NA
HI,Malawi,2022,Quarter,3,OTB_CRU_50-115_0_0_all,NA,27.3.a.21,NA,kWd,156585,NA
HI,Malawi,2022,Quarter,2,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,236540,NA
HI,Malawi,2022,Quarter,1,OTB_CRU_32-65_2_22_all,NA,27.3.a.21,NA,kWd,8664,NA
HI,Malawi,2022,Quarter,4,OTB_CRU_80-65_2_35_all,NA,27.3.a.21,NA,kWd,201356,NA
