Mean weights at Age Age:
Stock	Year	Season	Area	Country	Effort	Catch Cat.	Report cat.	Fleets	Caton	SampledCatch	NumAgeMeasurement	NumLengthMeasurements	NumSamplesAge	NumSamplesLength	UndeterminedAge0	UndeterminedAge1	UndeterminedAge2	UndeterminedAge3	UndeterminedAge4	UndeterminedAge5	UndeterminedAge6	UndeterminedAge7	UndeterminedAge8	UndeterminedAge9	UndeterminedAge10	UndeterminedAge11	UndeterminedAge12	UndeterminedAge13	UndeterminedAge14	UndeterminedAge15	UndeterminedAge16	UndeterminedAge17	UndeterminedAge18	UndeterminedAge19	UndeterminedAge20	UndeterminedAge21
pok.27.3a46	2022	1	27.3.a.20	Denmark	-9	Landings	R-Reported	MIS_MIS_0_0_0_HC	1222	0	0	0	0	0	0	0	0	1223	1721	2248	2802	3378	3974	4589	5220	5866	7970	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Denmark	464313.1346387915	Landings	R-Reported	OTB_DEF_>=120_0_0_all	6331.742163391661	6331.742163391661	150	150	3	3	0	0	0	668.35	810.72	1268.53	2325.23	4540.76	4578.21	5097.26	7345.25	6615.21	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Norway	-9	Discards	R-Reported	GNS_DEF_>=220_0_0_all	15231	15231	39	47	8	8	0	50	284.49	511.19	633.5	901.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Norway	-9	Landings	R-Reported	GNS_DEF_>=220_0_0_all	81664	81664	150	150	3	3	0	0	0	668.35	811.7	1282.87	2279.45	4324.49	4578.21	4852.78	6945.51	6615.21	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Norway	128	Landings	R-Reported	LLS_FIF_0_0_0_all	32	32	150	150	3	3	0	0	0	668.35	827.32	1464.01	2265.35	4521.45	4578.21	5078.5	7400.79	6615.21	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Norway	1	Landings	R-Reported	MIS_MIS_0_0_0_HC	2	2	150	150	3	3	0	0	0	668.35	802.76	1091.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Norway	18952	Landings	R-Reported	OTB_CRU_32-69_0_0_all	11	11	150	150	3	3	0	0	0	668.35	808.35	1216.16	2070.81	3213	0	3674.72	0	0	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Norway	32111	Landings	R-Reported	OTB_CRU_70-89_2_35_all	2905	2905	150	150	3	3	0	0	0	668.35	937.94	1772.69	2365.15	4373.84	4578.21	4905.43	6888.3	6615.21	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Norway	-9	Landings	R-Reported	OTB_CRU_90-119_0_0_all	13014	13014	150	150	3	3	0	0	0	668.35	968.4	1791.9	2326.14	4355.21	4578.21	4885.44	6912.13	6615.21	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.3.a.20	Norway	-9	Landings	R-Reported	SDN_DEF_>=120_0_0_all	312.93721743519683	312.93721743519683	150	150	3	3	0	0	0	668.35	808.46	1224.68	2279.67	5137.62	4578.21	5480.96	7837.61	6615.21	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.4	Denmark	3353476	Discards	R-Reported	SSC_DEF_>=120_0_0_all	72215	72	63	243	7	7	0	0	540	935	1036	1744	2931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.4	Denmark	160687.62936057514	Landings	R-Reported	OTB_DEF_>=120_0_0	56337.88422731558	56337.88422731558	262	262	8	8	0	0	0	1045.36	1300.83	1584.78	2333.59	3372.54	4043.45	5694.54	6526.87	7642.49	7728.4	8962.31	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.4	Denmark	369155.483420564	Landings	R-Reported	SSC_DEF_>=120_0_0_all	37978.60488510975	37.965461971154774	529	1278	19	19	0	0	0	901	1370	1631	2231	2917	3799	4735	6238	8245	6642	7920	8676	9132	10095	0	9846	9359	0	0
pok.27.3a46	2022	1	27.4	Germany	-9	Discards	R-Reported	OTB_DEF_>=120_0_0_all	12775	12775	15	36	3	3	0	213.78	250.35	648.67	1298.62	1514.32	1680.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.4	Germany	116151	Landings	R-Reported	GNS_DEF_120-219_0_0_all	8661	8661	262	262	8	8	0	0	0	1045.36	1358.06	1642.75	2389.4	3328.87	3810.67	5436.81	6032.88	6802.94	7728.4	8962.31	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.4	Germany	202257	Landings	R-Reported	MIS_MIS_0_0_0_HC	1737	1737	262	262	8	8	0	0	0	1045.36	1372.09	1906.25	2880.73	3869.54	4333.64	5535.63	6252.99	7211.59	7728.4	8962.31	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.4	Germany	53998	Landings	R-Reported	OTB_CRU_32-69_0_0_all	671	671	262	262	8	8	0	0	0	1045.36	1248.27	1519.72	2190.02	3141.7	3802.86	5462.06	6093.68	6922.23	7728.4	8962.31	0	0	0	0	0	0	0	0
pok.27.3a46	2022	1	27.4	Germany	2194	Landings	R-Reported	OTB_CRU_70-99_0_0_all	40	40	262	262	8	8	0	0	0	1045.36	1190.58	1449.01	1773.62	2448.76	3224.85	0	0	0	0	0	0	0	0	0	0	0	0	0
